,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Sam Vokes,9.0,wls WAL,FW,27-302,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
1,Jeff Hendrick,13.0,ie IRL,"FW,LM",25-200,90,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0
2,Robbie Brady,12.0,ie IRL,LM,25-217,77,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
3,Jonathan Walters,19.0,ie IRL,LW,33-333,13,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
4,Steven Defour,16.0,be BEL,"CM,RM",29-126,90,1,1,0,1,0,1,2,50.0,1,1,0,1,1,2,1,0
5,Jack Cork,4.0,eng ENG,CM,28-055,90,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,1,0
6,Jóhann Berg Guðmundsson,17.0,is ISL,RM,26-296,78,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
7,Ashley Barnes,10.0,eng ENG,RW,27-293,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
8,Stephen Ward,23.0,ie IRL,LB,31-364,90,4,4,2,1,1,1,2,50.0,1,1,0,1,0,4,7,0
9,Ben Mee,6.0,eng ENG,CB,27-332,90,0,0,0,0,0,0,0,,0,1,1,0,1,1,15,0
10,James Tarkowski,5.0,eng ENG,CB,24-273,90,1,1,1,0,0,0,2,0.0,2,1,1,0,3,4,5,0
11,Matthew Lowton,2.0,eng ENG,RB,28-071,90,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,3,1
12,Tom Heaton,1.0,eng ENG,GK,31-126,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
13,13 Players,,,,,990,9,8,3,5,1,2,8,25.0,6,5,2,3,7,16,35,1
