,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Steve Mounié,24.0,bj BEN,FW,22-325,90,23,23,0,0,0,0,0,0,0,0,0,0,12,0,2
1,Rajiv van La Parra,17.0,nl NED,LW,26-077,68,23,23,0,0,0,0,4,0,0,0,0,0,17,0,1
2,Collin Quaner,23.0,de GER,"RW,LM",26-063,22,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0
3,Elias Kachunga,9.0,cd COD,"RW,LW",25-120,71,23,22,1,0,1,0,1,1,0,0,0,0,14,0,1
4,Kasey Palmer,45.0,jm JAM,"AM,RM",20-284,19,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1
5,Tom Ince,22.0,eng ENG,"AM,LW",25-202,89,35,31,3,0,0,0,3,0,2,2,0,0,26,1,3
6,Michael Hefele,44.0,de GER,CB,26-353,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,Philip Billing,8.0,dk DEN,"DM,CM",21-070,90,60,57,3,3,0,0,2,0,0,0,0,0,49,0,2
8,Aaron Mooy,10.0,au AUS,"DM,CM",26-339,90,62,54,8,3,0,0,5,0,5,2,1,0,49,0,2
9,Chris Löwe,15.0,de GER,LB,28-126,90,65,53,11,1,0,1,3,10,0,0,0,0,52,1,1
10,Christopher Schindler,26.0,de GER,CB,27-113,90,71,70,1,1,0,1,0,0,0,0,0,0,62,0,0
11,Mathias Jørgensen,25.0,dk DEN,CB,27-119,90,42,40,1,1,0,1,0,0,0,0,0,0,30,1,0
12,Tommy Smith,2.0,eng ENG,RB,25-128,90,51,38,13,1,0,0,2,12,0,0,0,0,31,0,2
13,Jonas Lössl,1.0,dk DEN,GK,28-200,90,38,29,9,5,0,0,0,0,0,0,0,0,25,0,0
14,14 Players,,,,,990,505,451,50,15,1,3,20,23,7,4,1,0,375,4,15
