,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Andre Gray,18.0,jm JAM,FW,26-054,90,0,0,0,0,2,1,1,0,26,1,0,0,0.5,0.5,0.0,3,1,12,19,63.2,0,23,4,2,0
1,Richarlison,11.0,br BRA,LW,20-101,79,1,0,0,0,6,2,0,0,38,2,0,0,1.0,1.0,0.7,8,0,15,22,68.2,3,25,4,3,2
2,Étienne Capoue,29.0,fr FRA,"CM,LW",29-039,11,1,0,0,0,1,1,0,0,6,0,0,0,0.0,0.0,0.0,2,0,4,4,100.0,0,3,0,0,0
3,Nordin Amrabat,7.0,ma MAR,RW,30-141,81,0,0,0,0,1,0,0,0,37,3,0,0,0.1,0.1,0.1,3,0,19,27,70.4,5,22,3,1,0
4,Christian Kabasele,27.0,be BEL,RB,26-176,9,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,1,1,100.0,1,1,0,0,0
5,Nathaniel Chalobah,14.0,eng ENG,"LM,FW",22-250,89,0,0,0,0,5,2,1,0,46,4,0,1,0.5,0.5,0.0,3,1,20,31,64.5,3,28,3,3,3
6,Ben Watson,23.0,eng ENG,CM,32-041,1,0,0,0,0,0,0,0,0,6,0,1,0,0.0,0.0,0.0,0,0,2,4,50.0,1,4,0,0,0
7,Abdoulaye Doucouré,16.0,ml MLI,"CM,DM",24-230,90,0,0,0,0,1,0,0,0,63,2,1,1,0.1,0.1,0.0,3,0,46,55,83.6,6,42,0,0,0
8,Tom Cleverley,8.0,eng ENG,"RM,LM",28-007,90,0,0,0,0,2,0,0,0,66,2,1,2,0.2,0.2,0.1,4,0,47,54,87.0,9,37,1,0,0
9,José Holebas,25.0,gr GRE,LB,33-053,90,0,0,0,0,1,1,0,0,54,2,3,1,0.0,0.0,0.2,6,0,31,42,73.8,4,23,2,0,0
10,Miguel Britos,3.0,uy URU,CB,32-033,90,0,0,0,0,0,0,1,0,44,0,2,2,0.0,0.0,0.0,2,0,25,32,78.1,4,20,0,2,1
11,Sebastian Prödl,5.0,at AUT,CB,30-059,90,0,0,0,0,0,0,0,0,40,1,4,2,0.0,0.0,0.0,0,0,18,26,69.2,2,21,0,0,0
12,Kiko Femenía,21.0,es ESP,"RB,RM",26-198,90,0,0,0,0,0,0,0,0,55,2,6,0,0.0,0.0,0.0,1,1,37,45,82.2,5,32,4,3,3
13,Heurelho Gomes,1.0,br BRA,GK,36-185,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,18,36,50.0,0,23,0,0,0
14,14 Players,,,,,990,2,0,0,0,19,7,3,0,523,20,18,9,2.4,2.4,1.2,35,3,295,398,74.1,43,304,21,14,9
