,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Álvaro Morata,9.0,es ESP,FW,24-301,78,19,18,1,0,0,0,2,0,0,0,0,0,11,0,3
1,Michy Batshuayi,23.0,be BEL,FW,23-322,12,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2,Willian,22.0,br BRA,FW,29-011,77,32,28,4,1,0,0,5,0,3,1,2,0,20,0,1
3,Pedro,11.0,es ESP,FW,30-023,13,2,1,1,1,0,0,1,0,0,0,0,0,2,0,0
4,N'Golo Kanté,7.0,fr FRA,DM,26-144,90,35,35,0,0,1,0,3,0,0,0,0,0,26,0,2
5,David Luiz,30.0,br BRA,DM,30-120,90,31,27,4,4,0,0,0,0,0,0,0,0,22,0,1
6,Tiemoué Bakayoko,14.0,fr FRA,DM,23-003,90,16,16,0,0,0,0,0,0,0,0,0,0,10,0,0
7,Marcos Alonso,3.0,es ESP,WB,26-235,90,38,32,6,0,0,0,1,6,0,0,0,0,26,0,1
8,Victor Moses,15.0,ng NGA,WB,26-251,90,22,20,2,0,0,1,2,2,0,0,0,0,16,0,0
9,Antonio Rüdiger,2.0,de GER,CB,24-170,90,28,27,1,1,0,0,0,0,0,0,0,0,20,0,0
10,Andreas Christensen,27.0,dk DEN,CB,21-132,90,16,16,0,0,0,0,0,0,0,0,0,0,16,0,0
11,César Azpilicueta,28.0,es ESP,CB,27-357,90,33,29,4,4,0,0,1,0,0,0,0,0,23,0,0
12,Thibaut Courtois,13.0,be BEL,GK,25-101,90,36,25,11,2,0,0,0,0,0,0,0,0,20,0,0
13,13 Players,,,,,990,310,275,35,13,1,1,15,8,3,1,2,0,213,0,8
