,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Alexandre Lacazette,9.0,fr FRA,"FW,LW,LM",26-075,90,24,19,4,0,0,0,2,0,0,0,0,0,20,1,1
1,Danny Welbeck,23.0,eng ENG,"AM,FW",26-258,74,21,21,0,0,1,0,0,0,0,0,0,0,16,0,2
2,Theo Walcott,14.0,eng ENG,RW,28-148,16,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
3,Mesut Özil,11.0,de GER,"AM,RM",28-300,90,86,81,3,2,0,1,3,0,1,0,1,0,70,2,5
4,Granit Xhaka,29.0,ch SUI,"CM,DM",24-318,90,106,94,12,3,1,3,6,1,8,3,2,0,86,0,0
5,Mohamed Elneny,35.0,eg EGY,CM,25-031,66,72,71,1,1,0,0,0,0,0,0,0,0,65,0,0
6,Aaron Ramsey,8.0,wls WAL,"DM,CM",26-228,24,12,11,1,0,0,0,0,1,0,0,0,0,9,0,0
7,Alex Oxlade-Chamberlain,15.0,eng ENG,"WB,RB",23-361,90,67,58,8,0,0,3,7,8,0,0,0,0,48,1,4
8,Héctor Bellerín,24.0,es ESP,"WB,LB",22-145,90,70,60,10,0,0,0,0,10,0,0,0,0,61,0,0
9,Sead Kolašinac,31.0,ba BIH,CB,24-052,90,73,69,3,3,0,0,2,0,0,0,0,0,59,1,2
10,Nacho Monreal,18.0,es ESP,CB,31-166,90,57,56,1,1,0,0,0,0,0,0,0,0,54,0,0
11,Rob Holding,16.0,eng ENG,CB,21-325,66,60,57,3,2,0,1,0,1,0,0,0,0,50,0,1
12,Olivier Giroud,12.0,fr FRA,FW,30-315,24,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0
13,Petr Čech,33.0,cz CZE,GK,35-083,90,23,14,9,3,0,0,0,0,0,0,0,0,19,0,0
14,14 Players,,,,,990,681,621,55,15,2,8,20,21,9,3,3,0,565,5,15
