,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Benik Afobe,9.0,cd COD,FW,24-181,63,7,8,87.5,115,0,3,4,75.0,4,4,100.0,0,0,,0,0.1,0.0,1,0,0,0,0
1,Jermain Defoe,18.0,eng ENG,FW,34-309,27,3,3,100.0,38,4,2,2,100.0,1,1,100.0,0,0,,0,0.1,0.1,1,0,0,0,0
2,Joshua King,17.0,no NOR,FW,25-209,90,21,24,87.5,362,69,9,10,90.0,12,14,85.7,0,0,,0,0.0,0.0,1,3,0,0,3
3,Marc Pugh,7.0,eng ENG,LM,30-132,45,20,23,87.0,338,71,8,10,80.0,11,11,100.0,1,2,50.0,0,0.0,0.0,1,1,1,0,1
4,Jordon Ibe,33.0,eng ENG,"RM,LM",21-247,45,23,30,76.7,375,71,10,11,90.9,12,15,80.0,1,4,25.0,0,0.0,0.0,0,4,1,1,3
5,Harry Arter,8.0,ie IRL,CM,27-227,90,98,105,93.3,2108,604,16,17,94.1,71,71,100.0,11,17,64.7,0,0.0,0.1,0,16,2,0,17
6,Andrew Surman,6.0,eng ENG,CM,30-357,90,93,106,87.7,1799,599,30,33,90.9,55,62,88.7,8,11,72.7,0,0.0,0.1,1,17,1,0,13
7,Ryan Fraser,24.0,sct SCO,"LM,RM",23-169,90,41,50,82.0,737,190,15,16,93.8,22,27,81.5,4,7,57.1,0,0.1,0.1,2,2,1,0,8
8,Charlie Daniels,11.0,eng ENG,LB,30-339,90,62,76,81.6,1161,332,27,31,87.1,29,33,87.9,6,12,50.0,0,0.0,0.0,0,9,0,0,9
9,Nathan Aké,5.0,nl NED,CB,22-175,90,54,61,88.5,1127,593,9,9,100.0,40,43,93.0,5,9,55.6,0,0.0,0.0,0,1,0,0,3
10,Steve Cook,3.0,eng ENG,CB,26-115,90,49,65,75.4,1053,514,11,12,91.7,32,37,86.5,6,16,37.5,0,0.0,0.0,1,8,0,0,7
11,Simon Francis,2.0,eng ENG,RB,32-177,79,52,70,74.3,935,205,14,17,82.4,36,40,90.0,2,12,16.7,0,0.0,0.0,0,2,1,1,3
12,Adam Smith,15.0,eng ENG,RB,26-105,11,4,5,80.0,64,0,3,3,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0
13,Asmir Begović,27.0,ba BIH,GK,30-053,90,23,31,74.2,640,470,1,1,100.0,15,15,100.0,7,15,46.7,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,550,657,83.7,10852,3722,158,176,89.8,341,375,90.9,51,105,48.6,0,0.4,0.6,8,63,7,2,67
