,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Saido Berahino,9.0,bi BDI,FW,24-008,71,0,0,0,0,2,0,0,1,0,0,0,0,3,1,5,16.7
1,Peter Crouch,25.0,eng ENG,FW,36-194,19,0,0,0,0,0,3,0,0,0,0,0,0,0,6,2,75.0
2,Bojan Krkić,27.0,es ESP,AM,26-349,71,0,0,0,1,3,0,2,0,0,0,0,0,5,0,0,
3,Eric Maxim Choupo-Moting,10.0,cm CMR,AM,28-142,19,0,0,0,1,1,0,2,0,1,0,0,0,2,0,0,
4,Xherdan Shaqiri,22.0,ch SUI,AM,25-306,90,0,0,0,1,0,0,11,1,1,0,0,0,2,0,0,
5,Darren Fletcher,24.0,sct SCO,CM,33-192,90,0,0,0,2,1,0,3,6,2,0,0,0,4,1,0,100.0
6,Joe Allen,4.0,wls WAL,CM,27-151,90,1,0,0,3,3,0,1,2,1,0,0,0,7,1,1,50.0
7,Erik Pieters,3.0,nl NED,WB,29-005,90,0,0,0,2,1,2,4,4,3,0,0,0,3,3,2,60.0
8,Mame Biram Diouf,18.0,sn SEN,WB,29-239,90,0,0,0,0,1,0,1,2,0,0,0,0,2,4,3,57.1
9,Geoff Cameron,20.0,us USA,CB,32-032,90,0,0,0,0,0,0,2,4,2,0,0,0,4,1,1,50.0
10,Ryan Shawcross,17.0,eng ENG,CB,29-312,90,0,0,0,0,1,1,0,4,2,0,0,0,0,1,2,33.3
11,Kurt Zouma,6.0,fr FRA,CB,22-289,90,0,0,0,0,0,0,1,0,0,0,0,0,4,5,3,62.5
12,Jack Butland,1.0,eng ENG,GK,24-155,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
13,13 Players,,,,,990,1,0,0,10,13,6,27,24,12,0,0,0,38,23,19,54.8
