,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Romelu Lukaku,9.0,be BEL,FW,24-092,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
1,Marcus Rashford,19.0,eng ENG,LW,19-286,79,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0
2,Anthony Martial,11.0,fr FRA,LW,21-251,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
3,Juan Mata,8.0,es ESP,RW,29-107,75,2,2,0,1,1,0,0,,0,1,0,1,2,4,0,0
4,Marouane Fellaini,27.0,be BEL,AM,29-264,15,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0
5,Henrikh Mkhitaryan,22.0,am ARM,"AM,RW",28-204,87,1,1,0,0,1,1,2,50.0,1,0,0,0,0,1,1,0
6,Jesse Lingard,14.0,eng ENG,RW,24-241,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
7,Nemanja Matić,31.0,rs SRB,DM,29-012,90,2,1,0,1,1,1,1,100.0,0,3,0,3,1,3,0,0
8,Paul Pogba,6.0,fr FRA,DM,24-151,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
9,Daley Blind,17.0,nl NED,LB,27-157,90,2,1,1,0,1,0,0,,0,0,0,0,1,3,5,0
10,Phil Jones,4.0,eng ENG,CB,25-173,90,2,1,1,1,0,0,0,,0,0,0,0,4,6,4,0
11,Eric Bailly,3.0,ci CIV,CB,23-123,90,1,0,0,0,1,0,1,0.0,1,1,0,1,1,2,4,0
12,Antonio Valencia,25.0,ec ECU,RB,32-009,90,2,1,0,2,0,0,0,,0,1,1,0,2,4,3,0
13,David de Gea,1.0,es ESP,GK,26-279,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,14,8,3,6,5,2,5,40.0,3,6,1,5,11,25,21,0
