,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Jay Rodriguez,19.0,eng ENG,"FW,RM",28-014,87,12,21,57.1,133,14,9,12,75.0,2,7,28.6,0,0,,0,0.1,0.0,2,0,1,0,1
1,Salomón Rondón,9.0,ve VEN,FW,27-330,3,1,1,100.0,25,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
2,James McClean,14.0,ie IRL,LM,28-112,90,13,18,72.2,262,68,4,5,80.0,5,5,100.0,2,4,50.0,0,0.0,0.1,2,1,2,1,1
3,Sam Field,28.0,eng ENG,CM,19-096,69,11,13,84.6,179,73,6,7,85.7,4,4,100.0,1,2,50.0,0,0.0,0.0,0,3,0,0,4
4,Rekeem Harper,34.0,eng ENG,CM,17-157,21,4,5,80.0,82,30,1,1,100.0,2,3,66.7,1,1,100.0,0,0.1,0.0,2,0,0,0,1
5,Jake Livermore,8.0,eng ENG,CM,27-271,90,22,33,66.7,414,173,9,10,90.0,6,10,60.0,5,9,55.6,0,0.4,0.5,3,4,0,0,5
6,Matt Phillips,10.0,sct SCO,RM,26-152,71,16,24,66.7,305,148,7,9,77.8,5,9,55.6,3,4,75.0,0,0.1,0.3,2,0,1,0,3
7,Hal Robson-Kanu,4.0,wls WAL,"FW,RM",28-083,19,2,4,50.0,22,0,0,0,,1,2,50.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0
8,Claudio Yacob,5.0,ar ARG,DM,30-025,90,16,16,100.0,312,117,7,7,100.0,7,7,100.0,2,2,100.0,0,0.0,0.0,0,0,0,0,1
9,Chris Brunt,11.0,nir NIR,LB,32-241,90,19,49,38.8,535,255,4,6,66.7,8,17,47.1,7,23,30.4,1,0.4,0.4,3,2,1,0,2
10,Ahmed Hegazi,26.0,eg EGY,CB,26-199,90,18,26,69.2,330,129,8,8,100.0,8,13,61.5,1,3,33.3,0,0.2,0.4,1,1,0,0,1
11,Craig Dawson,25.0,eng ENG,CB,27-098,90,14,21,66.7,349,207,7,7,100.0,2,4,50.0,5,9,55.6,0,0.0,0.0,0,2,0,0,0
12,Allan Nyom,2.0,cm CMR,RB,29-094,90,26,39,66.7,507,306,13,13,100.0,9,15,60.0,4,9,44.4,0,0.0,0.0,0,3,0,0,2
13,Ben Foster,1.0,eng ENG,GK,34-131,90,7,21,33.3,406,369,0,0,,1,1,100.0,6,20,30.0,0,0.0,0.0,0,1,0,0,0
14,14 Players,,,,,990,181,291,62.2,3861,1889,75,85,88.2,61,98,62.2,37,87,42.5,1,1.2,1.7,15,17,5,1,21
