,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Sandro Ramírez,9.0,es ESP,"FW,LW",22-034,76,13,22,59.1,126,43,8,13,61.5,3,5,60.0,0,0,,0,0.0,0.0,0,1,0,0,2
1,Kevin Mirallas,11.0,be BEL,"LW,FW",29-311,14,4,8,50.0,71,12,1,2,50.0,3,4,75.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0
2,Davy Klaassen,20.0,nl NED,"AM,CM",24-172,59,18,21,85.7,245,21,9,10,90.0,8,10,80.0,0,0,,0,0.0,0.0,1,1,0,0,1
3,Tom Davies,26.0,eng ENG,CM,19-043,31,11,15,73.3,154,53,6,8,75.0,3,5,60.0,0,0,,0,0.0,0.0,0,1,0,0,1
4,Wayne Rooney,10.0,eng ENG,"AM,RW",31-292,90,48,58,82.8,932,380,25,26,96.2,10,13,76.9,11,17,64.7,0,0.1,0.5,1,8,3,1,7
5,Idrissa Gana Gueye,17.0,sn SEN,"CM,RM",27-320,90,59,70,84.3,925,291,29,30,96.7,26,31,83.9,2,6,33.3,0,0.0,0.0,0,8,0,0,8
6,Morgan Schneiderlin,2.0,fr FRA,"CM,LM",27-277,90,48,55,87.3,706,131,29,32,90.6,15,18,83.3,3,4,75.0,0,0.0,0.0,0,3,0,0,1
7,Leighton Baines,3.0,eng ENG,"WB,LB",32-244,90,24,35,68.6,408,152,14,16,87.5,6,9,66.7,3,4,75.0,0,0.0,0.0,1,2,1,0,2
8,Dominic Calvert-Lewin,29.0,eng ENG,"WB,FW,LW",20-149,90,19,25,76.0,262,50,10,11,90.9,5,6,83.3,2,3,66.7,1,0.3,0.1,2,0,2,1,2
9,Phil Jagielka,6.0,eng ENG,CB,34-360,90,50,67,74.6,1078,321,16,19,84.2,26,31,83.9,8,16,50.0,0,0.0,0.0,0,2,0,0,2
10,Ashley Williams,5.0,wls WAL,CB,32-354,45,36,37,97.3,842,231,7,7,100.0,26,26,100.0,3,3,100.0,0,0.0,0.0,0,0,0,0,0
11,Cuco Martina,15.0,cw CUW,"RB,CB",27-321,45,21,30,70.0,331,134,11,14,78.6,9,11,81.8,1,3,33.3,0,0.1,0.1,1,0,2,2,2
12,Michael Keane,4.0,eng ENG,CB,24-213,90,57,69,82.6,1193,408,15,16,93.8,34,41,82.9,8,9,88.9,0,0.0,0.0,0,4,0,0,4
13,Jordan Pickford,1.0,eng ENG,GK,23-158,90,17,33,51.5,639,443,1,1,100.0,5,5,100.0,11,27,40.7,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,425,545,78.0,7912,2670,181,205,88.3,179,215,83.3,52,93,55.9,1,0.5,0.8,6,30,8,4,32
