,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Jordan Ayew,18.0,gh GHA,FW,25-342,90,4,3,1,2,1,2,2,100.0,0,0,0,0,1,5,1,0
1,Tammy Abraham,10.0,eng ENG,FW,19-321,81,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2,Oliver McBurnie,62.0,sct SCO,FW,21-076,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
3,Martin Olsson,16.0,se SWE,"LW,LB",29-094,90,0,0,0,0,0,0,0,,0,0,0,0,3,3,1,0
4,Kyle Naughton,26.0,eng ENG,"RW,RB",28-275,90,3,2,1,2,0,3,4,75.0,1,0,0,0,0,3,5,0
5,Tom Carroll,14.0,eng ENG,CM,25-083,90,5,3,3,1,1,1,6,16.7,5,2,0,2,1,6,1,1
6,Leroy Fer,8.0,nl NED,CM,27-226,90,2,2,1,0,1,2,4,50.0,2,1,1,0,1,3,0,0
7,Roque Mesa,51.0,es ESP,DM,28-073,66,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,0,0
8,Luciano Narsingh,11.0,nl NED,RM,26-340,24,2,1,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0
9,Alfie Mawson,6.0,eng ENG,CB,23-212,90,0,0,0,0,0,0,0,,0,1,1,0,0,0,7,1
10,Kyle Bartley,27.0,eng ENG,CB,26-089,66,1,1,1,0,0,1,1,100.0,0,1,1,0,3,4,10,0
11,Wayne Routledge,15.0,eng ENG,LM,32-224,24,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
12,Federico Fernández,33.0,ar ARG,CB,28-179,90,3,2,3,0,0,2,4,50.0,2,0,0,0,1,4,4,0
13,Łukasz Fabiański,1.0,pl POL,GK,32-123,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
14,14 Players,,,,,990,21,14,12,6,3,12,25,48.0,13,5,3,2,10,31,29,3
