,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Jamie Vardy,9.0,eng ENG,FW,30-212,90,20,0,0,6,14,3,20,1,0,0.0,1,100.0,11,114,21,1,1,1,3,0,16,4
1,Shinji Okazaki,20.0,jp JPN,FW,31-117,71,28,0,2,14,12,2,28,1,0,0.0,1,100.0,13,63,22,0,0,0,2,2,22,0
2,Daniel Amartey,18.0,gh GHA,CM,22-233,19,10,1,5,3,2,0,10,0,0,,0,,2,2,2,0,0,0,0,0,4,0
3,Marc Albrighton,11.0,eng ENG,LM,27-266,87,37,5,10,11,17,1,37,1,0,0.0,1,100.0,17,96,44,1,1,0,2,2,20,2
4,Demarai Gray,7.0,eng ENG,LM,21-044,3,3,0,0,2,1,0,3,0,0,,0,,1,1,0,0,0,0,0,0,2,0
5,Wilfred Ndidi,25.0,ng NGA,"CM,DM",20-238,90,35,3,17,12,6,0,35,1,0,0.0,1,100.0,9,18,2,0,0,0,0,2,16,1
6,Matty James,22.0,eng ENG,CM,26-020,81,25,3,11,11,3,0,25,0,0,,0,,7,26,2,0,0,0,0,1,7,1
7,Kelechi Iheanacho,8.0,ng NGA,FW,20-312,9,2,0,0,1,1,0,2,0,0,,0,,0,0,0,0,0,0,0,0,1,0
8,Riyad Mahrez,26.0,dz ALG,RM,26-171,90,53,1,11,23,19,2,53,6,2,33.3,4,66.7,28,147,44,1,0,0,2,4,32,3
9,Christian Fuchs,28.0,at AUT,LB,31-126,90,57,5,16,20,23,0,57,1,0,0.0,1,100.0,22,134,82,2,4,0,0,1,25,2
10,Harry Maguire,15.0,eng ENG,CB,24-159,90,36,7,16,13,8,3,36,2,1,50.0,1,50.0,15,126,68,2,1,1,0,0,15,3
11,Wes Morgan,5.0,jm JAM,CB,33-202,90,26,6,15,10,1,0,26,1,1,100.0,0,0.0,3,40,6,0,0,0,0,0,2,0
12,Danny Simpson,2.0,eng ENG,RB,30-219,90,54,6,28,13,13,0,54,2,1,50.0,1,50.0,13,55,25,1,0,0,1,0,16,0
13,Kasper Schmeichel,1.0,dk DEN,GK,30-279,90,41,28,38,3,0,0,41,0,0,,0,,9,120,104,0,0,0,0,0,8,0
14,14 Players,,,,,990,427,65,169,142,120,11,427,16,5,31.3,11,68.8,150,942,422,8,7,2,10,12,186,16
