,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Manolo Gabbiadini,20.0,it ITA,FW,25-266,79,19,22,86.4,254,26,13,14,92.9,6,6,100.0,0,1,0.0,0,0.0,0.1,0,0,1,0,3
1,Charlie Austin,10.0,eng ENG,FW,28-045,11,4,5,80.0,41,4,4,4,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0
2,Nathan Redmond,22.0,eng ENG,LW,23-166,90,25,35,71.4,387,104,14,16,87.5,9,12,75.0,2,4,50.0,1,0.1,0.1,3,1,2,0,5
3,Dušan Tadić,11.0,rs SRB,"RW,AM",28-272,90,36,52,69.2,541,229,19,25,76.0,15,16,93.8,1,9,11.1,0,0.1,0.3,4,3,7,0,11
4,Steven Davis,8.0,nir NIR,"AM,DM",32-230,79,59,64,92.2,814,223,33,33,100.0,19,23,82.6,2,3,66.7,0,0.0,0.1,1,6,0,0,11
5,Shane Long,7.0,ie IRL,DM,30-209,11,4,5,80.0,41,0,3,4,75.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
6,Mario Lemina,18.0,ga GAB,DM,23-352,64,45,53,84.9,809,260,22,24,91.7,20,22,90.9,3,7,42.9,0,0.0,0.0,0,5,0,0,7
7,James Ward-Prowse,16.0,eng ENG,RW,22-291,26,22,28,78.6,409,118,8,9,88.9,13,15,86.7,1,3,33.3,0,0.1,0.2,2,1,2,0,8
8,Oriol Romeu,14.0,es ESP,DM,25-329,90,90,102,88.2,1469,496,42,47,89.4,42,48,87.5,4,4,100.0,0,0.0,0.1,0,11,0,0,14
9,Ryan Bertrand,21.0,eng ENG,LB,28-014,90,57,70,81.4,845,256,33,38,86.8,21,25,84.0,2,6,33.3,0,0.0,0.0,0,3,1,0,5
10,Maya Yoshida,3.0,jp JPN,CB,28-360,90,49,60,81.7,792,375,24,27,88.9,24,27,88.9,1,6,16.7,0,0.0,0.0,0,1,0,0,4
11,Jack Stephens,5.0,eng ENG,CB,23-204,90,44,48,91.7,697,263,22,23,95.7,20,20,100.0,2,5,40.0,0,0.0,0.0,0,2,0,0,3
12,Cédric Soares,2.0,pt POR,RB,25-353,90,37,49,75.5,517,197,22,25,88.0,13,19,68.4,1,3,33.3,0,0.0,0.0,1,3,1,1,3
13,Fraser Forster,44.0,eng ENG,GK,29-155,90,14,20,70.0,398,291,0,0,,10,10,100.0,4,10,40.0,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,505,613,82.4,8014,2842,259,289,89.6,213,245,86.9,23,61,37.7,1,0.4,0.9,11,36,14,1,74
