,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Jordan Ayew,18.0,gh GHA,FW,25-342,90,28,38,73.7,364,19,17,24,70.8,7,10,70.0,2,2,100.0,0,0.0,0.0,0,0,1,1,1
1,Tammy Abraham,10.0,eng ENG,FW,19-321,81,12,14,85.7,126,37,6,6,100.0,3,4,75.0,0,0,,0,0.0,0.0,0,1,0,0,1
2,Oliver McBurnie,62.0,sct SCO,FW,21-076,9,4,5,80.0,34,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
3,Martin Olsson,16.0,se SWE,"LW,LB",29-094,90,37,59,62.7,484,180,28,32,87.5,8,13,61.5,1,9,11.1,0,0.0,0.0,0,1,1,0,3
4,Kyle Naughton,26.0,eng ENG,"RW,RB",28-275,90,42,63,66.7,767,405,22,26,84.6,12,23,52.2,7,10,70.0,0,0.0,0.0,0,4,1,1,9
5,Tom Carroll,14.0,eng ENG,CM,25-083,90,58,69,84.1,907,298,29,31,93.5,22,26,84.6,4,8,50.0,0,0.3,0.1,2,6,1,1,6
6,Leroy Fer,8.0,nl NED,CM,27-226,90,49,55,89.1,825,145,28,30,93.3,16,16,100.0,5,7,71.4,0,0.0,0.0,0,4,1,0,5
7,Roque Mesa,51.0,es ESP,DM,28-073,66,30,37,81.1,430,109,21,22,95.5,8,12,66.7,1,1,100.0,0,0.0,0.1,0,0,0,0,0
8,Luciano Narsingh,11.0,nl NED,RM,26-340,24,5,7,71.4,46,0,5,6,83.3,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
9,Alfie Mawson,6.0,eng ENG,CB,23-212,90,25,36,69.4,465,195,10,13,76.9,13,18,72.2,2,5,40.0,0,0.0,0.0,0,1,0,0,1
10,Kyle Bartley,27.0,eng ENG,CB,26-089,66,11,13,84.6,161,105,4,5,80.0,6,7,85.7,0,0,,0,0.0,0.0,0,1,0,0,0
11,Wayne Routledge,15.0,eng ENG,LM,32-224,24,1,4,25.0,28,4,0,1,0.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0
12,Federico Fernández,33.0,ar ARG,CB,28-179,90,24,30,80.0,424,221,8,10,80.0,15,16,93.8,1,3,33.3,0,0.0,0.0,0,1,0,0,1
13,Łukasz Fabiański,1.0,pl POL,GK,32-123,90,17,28,60.7,686,614,2,2,100.0,5,5,100.0,10,21,47.6,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,343,458,74.9,5747,2332,181,209,86.6,117,153,76.5,33,66,50.0,0,0.3,0.4,2,19,5,3,27
