,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Harry Kane,10.0,eng ENG,FW,24-016,90,17,16,1,0,1,0,0,0,0,0,0,0,15,0,1
1,Christian Eriksen,23.0,dk DEN,"LW,RW,AM",25-180,90,76,71,4,2,2,0,7,0,2,0,1,0,62,1,2
2,Moussa Sissoko,17.0,fr FRA,RW,27-362,57,29,28,1,0,0,0,0,1,0,0,0,0,22,0,3
3,Son Heung-min,7.0,kr KOR,"LW,RW",25-036,33,26,25,1,0,1,0,0,0,1,0,0,0,23,0,1
4,Dele Alli,20.0,eng ENG,AM,21-124,81,30,30,0,0,1,0,0,0,0,0,0,0,24,0,0
5,Victor Wanyama,12.0,ke KEN,"DM,AM",26-049,9,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0
6,Mousa Dembélé,19.0,be BEL,"DM,AM",30-028,89,86,86,0,0,0,0,0,0,0,0,0,0,83,0,1
7,Harry Winks,29.0,eng ENG,"RW,AM",21-192,1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0
8,Eric Dier,15.0,eng ENG,DM,23-210,90,90,88,2,2,0,0,2,0,0,0,0,0,79,0,1
9,Ben Davies,33.0,wls WAL,LB,24-111,90,98,77,21,0,0,0,5,17,4,2,0,0,85,0,4
10,Jan Vertonghen,5.0,be BEL,CB,30-111,90,87,87,0,0,0,0,0,0,0,0,0,0,77,0,0
11,Toby Alderweireld,4.0,be BEL,CB,28-164,90,102,99,3,3,0,1,0,0,0,0,0,0,93,0,0
12,Kyle Walker-Peters,37.0,eng ENG,RB,20-122,90,67,59,8,0,0,0,5,8,0,0,0,0,58,0,1
13,Hugo Lloris,1.0,fr FRA,GK,30-230,90,32,26,6,1,0,0,0,0,0,0,0,0,28,0,0
14,14 Players,,,,,990,756,708,47,8,5,1,19,26,7,2,1,0,663,1,14
