,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Jamie Vardy,9.0,eng ENG,FW,30-220,89,19,18,0,0,0,1,2,0,0,0,0,0,15,1,0
1,Demarai Gray,7.0,eng ENG,FW,21-052,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,Shinji Okazaki,20.0,jp JPN,FW,31-125,75,17,16,1,0,0,0,0,0,0,0,0,0,13,0,1
3,Islam Slimani,19.0,dz ALG,FW,29-062,15,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
4,Marc Albrighton,11.0,eng ENG,LM,27-274,90,37,31,6,2,0,0,7,0,4,3,0,0,21,0,0
5,Matty James,22.0,eng ENG,CM,26-028,90,44,44,0,0,0,0,0,0,0,0,0,0,36,0,0
6,Wilfred Ndidi,25.0,ng NGA,CM,20-246,90,55,55,0,0,1,0,1,0,0,0,0,0,34,0,2
7,Riyad Mahrez,26.0,dz ALG,RM,26-179,90,49,43,6,2,0,0,6,2,2,2,0,0,39,0,1
8,Christian Fuchs,28.0,at AUT,LB,31-134,90,61,54,7,1,0,0,2,6,0,0,0,0,49,0,1
9,Harry Maguire,15.0,eng ENG,CB,24-167,90,64,63,1,1,0,1,0,0,0,0,0,0,55,0,0
10,Wes Morgan,5.0,jm JAM,CB,33-210,90,38,37,1,1,0,0,0,0,0,0,0,0,33,0,0
11,Danny Simpson,2.0,eng ENG,RB,30-227,90,47,38,9,0,0,0,1,9,0,0,0,0,35,0,0
12,Kasper Schmeichel,1.0,dk DEN,GK,30-287,90,34,25,9,4,0,0,0,0,0,0,0,0,21,0,0
13,13 Players,,,,,990,470,429,40,11,1,2,19,17,6,5,0,0,355,1,5
