,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Stefano Okaka,33.0,it ITA,FW,28-003,62,1,0,0,0,1,1,0,0,23,0,0,1,0.4,0.4,0.2,1,0,12,16,75.0,2,15,2,3,3
1,Andre Gray,18.0,jm JAM,FW,26-047,28,0,0,0,0,0,0,0,0,8,1,0,1,0.0,0.0,0.0,1,0,5,5,100.0,0,4,0,0,0
2,Roberto Pereyra,37.0,ar ARG,LW,26-217,48,0,0,0,0,1,0,0,0,8,0,0,1,0.2,0.2,0.0,2,1,3,3,100.0,1,7,1,1,1
3,Richarlison,11.0,br BRA,LW,20-094,42,0,0,0,0,2,0,0,0,13,1,1,0,0.2,0.2,0.0,1,1,4,7,57.1,0,9,0,0,0
4,Nordin Amrabat,7.0,ma MAR,RW,30-134,90,0,0,0,0,0,0,0,0,46,3,0,0,0.0,0.0,0.1,1,0,18,37,48.6,0,26,0,2,1
5,Nathaniel Chalobah,14.0,eng ENG,LM,22-243,90,0,0,0,0,1,0,0,0,30,2,1,0,0.0,0.0,0.0,0,0,19,26,73.1,4,13,0,0,0
6,Abdoulaye Doucouré,16.0,ml MLI,CM,24-223,90,1,0,0,0,1,1,0,0,84,1,1,2,0.8,0.8,0.1,4,2,60,73,82.2,5,45,1,3,3
7,Tom Cleverley,8.0,eng ENG,RM,28-000,90,0,0,0,0,0,0,0,0,53,0,1,1,0.0,0.0,0.0,0,0,32,46,69.6,4,30,0,1,0
8,José Holebas,25.0,gr GRE,LB,33-046,90,0,1,0,0,1,0,0,0,64,5,3,2,0.0,0.0,0.4,1,1,24,40,60.0,2,21,2,4,2
9,Miguel Britos,3.0,uy URU,CB,32-026,90,1,0,0,0,2,2,0,0,51,1,0,3,0.7,0.7,0.0,1,0,29,40,72.5,2,24,1,0,0
10,Younès Kaboul,4.0,fr FRA,CB,31-220,90,0,0,0,0,0,0,0,0,71,3,1,3,0.0,0.0,0.0,1,0,31,51,60.8,1,34,2,1,0
11,Daryl Janmaat,2.0,nl NED,RB,28-021,17,0,0,0,0,0,0,0,0,13,1,1,0,0.0,0.0,0.0,0,0,9,12,75.0,0,4,1,0,0
12,Kiko Femenía,21.0,es ESP,RB,26-191,73,0,0,0,0,0,0,0,0,53,1,2,1,0.0,0.0,0.0,1,0,36,47,76.6,3,24,3,2,1
13,Heurelho Gomes,1.0,br BRA,GK,36-178,90,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,0,0,25,45,55.6,0,25,0,0,0
14,14 Players,,,,,990,3,1,0,0,9,4,0,0,566,19,11,15,2.2,2.2,0.6,14,5,307,448,68.5,24,281,13,17,11
