,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Romelu Lukaku,9.0,be BEL,FW,24-098,90,18,18,0,0,1,0,0,0,0,0,0,0,11,0,0
1,Marcus Rashford,19.0,eng ENG,LW,19-292,74,16,16,0,0,0,0,0,0,0,0,0,0,15,0,0
2,Anthony Martial,11.0,fr FRA,"LW,LM",21-257,16,13,13,0,0,0,0,0,0,0,0,0,0,12,0,0
3,Juan Mata,8.0,es ESP,RW,29-113,74,58,53,5,1,0,1,9,0,3,3,0,0,43,0,1
4,Marouane Fellaini,27.0,be BEL,"RW,CM",29-270,16,14,14,0,0,0,0,0,0,0,0,0,0,12,0,0
5,Henrikh Mkhitaryan,22.0,am ARM,AM,28-210,84,63,61,2,2,1,0,1,0,0,0,0,0,56,0,1
6,Ander Herrera,21.0,es ESP,RM,28-005,6,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0
7,Nemanja Matić,31.0,rs SRB,DM,29-018,90,85,83,2,2,0,1,0,0,0,0,0,0,77,0,0
8,Paul Pogba,6.0,fr FRA,"DM,CM",24-157,90,79,77,2,1,0,1,3,1,0,0,0,0,63,0,0
9,Daley Blind,17.0,nl NED,LB,27-163,90,74,70,4,0,0,0,5,2,2,0,2,0,63,0,1
10,Phil Jones,4.0,eng ENG,CB,25-179,90,46,46,0,0,0,0,0,0,0,0,0,0,44,0,0
11,Eric Bailly,3.0,ci CIV,CB,23-129,90,48,48,0,0,0,0,0,0,0,0,0,0,45,0,0
12,Antonio Valencia,25.0,ec ECU,RB,32-015,90,89,76,13,3,0,0,2,10,0,0,0,0,79,0,0
13,David de Gea,1.0,es ESP,GK,26-285,90,26,13,13,3,0,0,0,0,0,0,0,0,14,0,0
14,14 Players,,,,,990,637,596,41,12,2,3,20,13,5,3,2,0,542,0,3
