,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Christian Benteke,17.0,be BEL,FW,26-252,90,19,19,0,0,0,0,0,0,0,0,0,0,9,0,0
1,Wilfried Zaha,11.0,ci CIV,AM,24-275,90,21,20,1,1,0,0,2,0,0,0,0,0,12,0,1
2,Ruben Loftus-Cheek,8.0,eng ENG,"CM,AM",21-201,90,36,35,1,0,0,0,1,0,0,0,0,0,33,0,0
3,Jason Puncheon,42.0,eng ENG,CM,31-055,90,48,39,9,3,0,1,5,0,3,1,1,1,40,0,0
4,Luka Milivojević,4.0,rs SRB,CM,26-127,45,29,25,4,3,0,0,0,1,0,0,0,0,22,0,1
5,Andros Townsend,10.0,eng ENG,AM,26-027,45,18,15,3,1,0,0,4,0,2,0,2,0,9,0,3
6,Patrick van Aanholt,3.0,nl NED,WB,26-348,90,58,38,20,4,0,0,10,9,7,2,5,0,40,0,4
7,Joel Ward,2.0,eng ENG,WB,27-287,90,38,29,9,1,0,0,5,8,0,0,0,0,27,0,1
8,Jaïro Riedewald,44.0,nl NED,CB,20-337,90,50,48,2,1,0,0,0,1,0,0,0,0,42,0,0
9,Scott Dann,6.0,eng ENG,CB,30-179,90,44,44,0,0,0,0,0,0,0,0,0,0,38,0,2
10,Timothy Fosu-Mensah,24.0,nl NED,CB,19-222,77,38,35,3,3,0,0,0,0,0,0,0,0,28,0,0
11,James Tomkins,5.0,eng ENG,CB,28-136,13,11,11,0,0,0,0,0,0,0,0,0,0,10,0,0
12,Wayne Hennessey,13.0,wls WAL,GK,30-200,90,34,30,4,1,0,0,0,0,0,0,0,0,23,0,0
13,13 Players,,,,,990,444,388,56,18,0,1,27,19,12,3,8,1,333,0,12
