,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Álvaro Morata,9.0,es ESP,FW,24-301,78,31,2,2,13,16,8,31,0,0,,0,,19,96,56,3,1,2,3,2,24,3
1,Michy Batshuayi,23.0,be BEL,FW,23-322,12,4,1,2,2,1,0,4,0,0,,0,,1,4,0,0,0,0,2,1,1,0
2,Willian,22.0,br BRA,FW,29-011,77,46,0,6,24,18,1,46,4,2,50.0,2,50.0,26,273,139,3,4,0,5,1,27,6
3,Pedro,11.0,es ESP,FW,30-023,13,3,0,1,0,2,0,3,0,0,,0,,2,7,6,0,0,0,0,0,2,2
4,N'Golo Kanté,7.0,fr FRA,DM,26-144,90,49,0,12,28,9,0,49,4,2,50.0,2,50.0,23,184,120,2,1,0,1,0,17,2
5,David Luiz,30.0,br BRA,DM,30-120,90,44,6,14,31,4,0,44,1,0,0.0,1,100.0,23,73,21,0,0,0,2,0,17,0
6,Tiemoué Bakayoko,14.0,fr FRA,DM,23-003,90,26,3,7,13,6,1,26,2,1,50.0,1,50.0,18,134,91,4,2,0,1,3,20,2
7,Marcos Alonso,3.0,es ESP,WB,26-235,90,52,6,28,15,9,1,52,1,1,100.0,0,0.0,20,102,38,1,0,0,1,0,24,4
8,Victor Moses,15.0,ng NGA,WB,26-251,90,34,3,14,11,10,2,34,3,3,100.0,0,0.0,16,65,49,1,1,0,1,0,15,3
9,Antonio Rüdiger,2.0,de GER,CB,24-170,90,37,4,27,10,0,0,37,0,0,,0,,19,53,22,0,0,0,0,0,19,0
10,Andreas Christensen,27.0,dk DEN,CB,21-132,90,36,13,27,9,0,0,36,0,0,,0,,11,47,19,0,0,0,1,0,12,0
11,César Azpilicueta,28.0,es ESP,CB,27-357,90,49,7,30,18,1,0,49,0,0,,0,,21,77,24,0,0,0,0,1,20,0
12,Thibaut Courtois,13.0,be BEL,GK,25-101,90,39,39,39,0,0,0,39,0,0,,0,,18,309,122,0,0,0,0,0,13,0
13,13 Players,,,,,990,450,84,209,174,76,13,450,15,9,60.0,6,40.0,217,1424,707,14,9,2,17,8,211,22
