,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Romelu Lukaku,9.0,be BEL,FW,24-092,90,26,26,0,0,0,0,1,0,0,0,0,0,16,0,1
1,Marcus Rashford,19.0,eng ENG,LW,19-286,79,21,19,2,0,1,0,1,1,1,0,0,0,16,0,2
2,Anthony Martial,11.0,fr FRA,LW,21-251,11,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
3,Juan Mata,8.0,es ESP,RW,29-107,75,44,38,5,1,0,0,3,0,3,1,1,0,35,1,1
4,Marouane Fellaini,27.0,be BEL,AM,29-264,15,11,11,0,0,0,0,0,0,0,0,0,0,10,0,0
5,Henrikh Mkhitaryan,22.0,am ARM,"AM,RW",28-204,87,44,43,1,1,3,1,3,0,0,0,0,0,38,0,1
6,Jesse Lingard,14.0,eng ENG,RW,24-241,3,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
7,Nemanja Matić,31.0,rs SRB,DM,29-012,90,69,69,0,0,1,1,0,0,0,0,0,0,59,0,0
8,Paul Pogba,6.0,fr FRA,DM,24-151,90,65,64,1,0,4,2,2,1,0,0,0,0,55,0,1
9,Daley Blind,17.0,nl NED,LB,27-157,90,56,36,20,1,0,0,8,12,7,0,5,0,38,0,1
10,Phil Jones,4.0,eng ENG,CB,25-173,90,60,59,1,1,0,0,0,0,0,0,0,0,55,0,0
11,Eric Bailly,3.0,ci CIV,CB,23-123,90,53,49,4,4,0,1,0,0,0,0,0,0,43,0,1
12,Antonio Valencia,25.0,ec ECU,RB,32-009,90,49,42,7,0,0,1,2,7,0,0,0,0,45,0,1
13,David de Gea,1.0,es ESP,GK,26-279,90,29,19,10,3,0,0,0,0,0,0,0,0,22,0,0
14,14 Players,,,,,990,538,486,51,11,9,6,20,21,11,1,6,0,442,1,9
