,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Roberto Firmino,9.0,br BRA,FW,25-314,80,40,1,3,22,15,3,39,3,3,100.0,0,0.0,22,122,56,2,2,1,2,5,30,6
1,Divock Origi,27.0,be BEL,FW,22-116,10,4,0,0,4,0,0,4,0,0,,0,,3,13,0,0,0,0,2,0,3,0
2,Sadio Mané,19.0,sn SEN,"LW,RW",25-124,90,44,0,2,17,25,5,44,3,0,0.0,3,100.0,29,205,106,5,2,1,3,3,34,4
3,Mohamed Salah,11.0,eg EGY,RW,25-058,85,29,0,1,15,15,7,29,1,1,100.0,0,0.0,21,115,64,3,1,1,3,4,22,11
4,James Milner,7.0,eng ENG,RM,31-220,5,5,0,2,2,1,0,5,0,0,,0,,1,11,4,1,0,0,0,0,2,1
5,Georginio Wijnaldum,5.0,nl NED,"LM,LW",26-274,90,52,1,6,31,15,2,52,0,0,,0,,27,104,44,1,2,0,1,1,37,3
6,Jordan Henderson,14.0,eng ENG,CM,27-056,90,73,2,26,40,7,0,73,0,0,,0,,33,149,39,0,1,0,1,1,43,0
7,Emre Can,23.0,de GER,"RM,LM",23-212,90,52,3,14,29,12,1,52,1,0,0.0,1,100.0,26,235,146,3,4,0,1,0,35,0
8,Alberto Moreno,18.0,es ESP,LB,25-038,90,73,3,27,30,17,0,73,2,2,100.0,0,0.0,24,182,109,3,3,0,1,0,37,8
9,Dejan Lovren,6.0,hr CRO,CB,28-038,90,76,3,40,35,1,1,76,0,0,,0,,34,190,138,1,0,0,0,0,44,0
10,Joël Matip,32.0,cm CMR,CB,26-004,90,70,6,38,27,5,3,70,0,0,,0,,32,261,213,2,1,0,1,0,41,1
11,Trent Alexander-Arnold,66.0,eng ENG,RB,18-309,89,74,5,22,31,21,1,74,1,0,0.0,1,100.0,26,110,39,1,0,1,1,0,31,6
12,Joe Gomez,12.0,eng ENG,RB,20-081,1,3,0,0,2,1,0,3,0,0,,0,,2,8,3,0,0,0,0,0,2,0
13,Simon Mignolet,22.0,be BEL,GK,29-159,90,44,38,44,0,0,0,44,0,0,,0,,22,155,97,0,0,0,0,0,20,0
14,14 Players,,,,,990,639,62,225,285,135,23,638,11,6,54.5,5,45.5,302,1860,1058,22,16,4,16,14,381,40
