,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Christian Benteke,17.0,be BEL,FW,26-259,90,10,22,45.5,119,30,9,16,56.3,1,5,20.0,0,0,,0,0.0,0.0,0,2,0,0,2
1,Andros Townsend,10.0,eng ENG,"FW,AM",26-034,90,18,22,81.8,285,76,10,12,83.3,4,4,100.0,3,4,75.0,0,0.0,0.0,0,0,0,0,0
2,Luka Milivojević,4.0,rs SRB,CM,26-134,76,27,31,87.1,490,139,14,14,100.0,10,11,90.9,3,4,75.0,0,0.0,0.0,0,4,0,0,1
3,Sullay Kaikai,25.0,sl SLE,CM,21-358,14,4,8,50.0,60,18,3,4,75.0,0,3,0.0,1,1,100.0,0,0.0,0.0,0,0,0,0,1
4,Jason Puncheon,42.0,eng ENG,CM,31-062,72,18,23,78.3,311,151,11,14,78.6,3,5,60.0,3,3,100.0,0,0.1,0.1,1,4,1,0,4
5,James McArthur,18.0,sct SCO,CM,29-316,18,4,7,57.1,40,1,3,3,100.0,1,2,50.0,0,2,0.0,0,0.0,0.0,0,0,0,0,0
6,Ruben Loftus-Cheek,8.0,eng ENG,"CM,AM",21-208,90,17,21,81.0,316,188,8,9,88.9,7,10,70.0,2,2,100.0,0,0.5,0.2,2,3,2,0,4
7,Patrick van Aanholt,3.0,nl NED,WB,26-355,83,13,23,56.5,228,130,9,12,75.0,1,3,33.3,2,6,33.3,0,0.0,0.0,0,2,0,0,2
8,Jeffrey Schlupp,15.0,gh GHA,WB,24-239,7,1,3,33.3,11,11,1,1,100.0,0,0,,0,2,0.0,0,0.0,0.0,0,0,0,0,0
9,Joel Ward,2.0,eng ENG,WB,27-294,90,23,38,60.5,412,208,13,13,100.0,5,10,50.0,5,13,38.5,0,0.0,0.0,0,1,1,0,1
10,James Tomkins,5.0,eng ENG,CB,28-143,90,13,16,81.3,303,171,3,3,100.0,7,9,77.8,3,4,75.0,0,0.0,0.0,0,3,0,0,2
11,Scott Dann,6.0,eng ENG,CB,30-186,90,16,25,64.0,402,164,2,3,66.7,9,13,69.2,5,8,62.5,0,0.0,0.0,0,4,1,0,3
12,Timothy Fosu-Mensah,24.0,nl NED,CB,19-229,90,14,22,63.6,292,135,3,3,100.0,9,12,75.0,2,6,33.3,0,0.0,0.0,0,2,0,0,2
13,Wayne Hennessey,13.0,wls WAL,GK,30-207,90,20,44,45.5,1017,990,0,0,,4,4,100.0,16,40,40.0,0,0.0,0.0,0,3,0,0,0
14,14 Players,,,,,990,198,305,64.9,4286,2412,89,107,83.2,61,91,67.0,45,95,47.4,0,0.7,0.4,3,28,5,0,22
