,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Alexandre Lacazette,9.0,fr FRA,FW,26-083,77,0,0,0,0,0,0,0,0,47,0,0,1,0.0,0.0,0.0,1,0,29,39,74.4,4,28,1,0,0
1,Theo Walcott,14.0,eng ENG,RW,28-156,13,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,1,3,0,0,0
2,Danny Welbeck,23.0,eng ENG,"AM,LW",26-266,90,0,0,0,0,3,2,0,0,32,1,0,0,0.6,0.6,0.0,1,0,19,24,79.2,2,28,3,1,0
3,Mesut Özil,11.0,de GER,AM,28-308,90,0,0,0,0,2,0,0,0,106,0,0,0,0.1,0.1,0.5,11,0,94,103,91.3,15,84,7,4,3
4,Granit Xhaka,29.0,ch SUI,CM,24-326,78,0,0,0,0,2,1,0,0,113,0,3,0,0.1,0.1,0.1,2,0,86,106,81.1,17,85,3,1,1
5,Alex Iwobi,17.0,ng NGA,DM,21-108,12,0,0,0,0,0,0,0,0,24,1,0,0,0.0,0.0,0.0,0,0,22,24,91.7,6,21,2,0,0
6,Aaron Ramsey,8.0,wls WAL,"CM,DM",26-236,90,0,0,0,0,4,2,0,0,96,3,0,1,0.5,0.5,0.0,0,0,74,85,87.1,12,73,1,5,4
7,Héctor Bellerín,24.0,es ESP,"WB,LB",22-153,90,0,0,0,0,2,1,0,0,83,2,0,0,0.1,0.1,0.0,4,0,66,77,85.7,6,47,2,0,0
8,Alex Oxlade-Chamberlain,15.0,eng ENG,"WB,RB",24-004,90,0,0,0,0,3,0,0,0,80,2,3,3,0.1,0.1,0.4,8,0,52,63,82.5,8,46,7,8,7
9,Sead Kolašinac,31.0,ba BIH,CB,24-060,65,0,0,0,0,0,0,0,0,60,0,0,0,0.0,0.0,0.0,2,0,52,58,89.7,5,43,2,1,1
10,Olivier Giroud,12.0,fr FRA,"FW,CB",30-323,25,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.1,1,0,3,7,42.9,1,4,1,0,0
11,Nacho Monreal,18.0,es ESP,CB,31-174,90,0,0,0,0,0,0,0,0,88,3,0,0,0.0,0.0,0.1,1,0,76,83,91.6,2,61,0,0,0
12,Shkodran Mustafi,20.0,de GER,CB,25-124,90,0,0,0,0,1,0,0,0,95,3,1,0,0.0,0.0,0.1,2,0,76,89,85.4,6,72,3,0,0
13,Petr Čech,33.0,cz CZE,GK,35-091,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,22,24,91.7,0,11,0,0,0
14,14 Players,,,,,990,0,0,0,0,18,6,0,0,861,15,7,5,1.5,1.5,1.3,33,0,674,785,85.9,85,606,32,20,16
