,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Eric Maxim Choupo-Moting,10.0,cm CMR,"AM,FW",28-149,90,9,19,47.4,150,36,3,6,50.0,6,9,66.7,0,2,0.0,0,0.1,0.1,1,0,1,1,0
1,Jesé,11.0,es ESP,AM,24-174,70,15,17,88.2,301,98,7,8,87.5,4,4,100.0,4,5,80.0,0,0.3,0.3,3,1,1,0,2
2,Ramadan Sobhi,32.0,eg EGY,AM,20-208,20,2,3,66.7,23,0,1,2,50.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
3,Xherdan Shaqiri,22.0,ch SUI,AM,25-313,24,7,9,77.8,107,25,5,5,100.0,1,2,50.0,1,2,50.0,0,0.0,0.0,0,2,0,0,2
4,Saido Berahino,9.0,bi BDI,FW,24-015,66,8,11,72.7,70,15,7,9,77.8,0,0,,0,1,0.0,1,0.1,0.2,1,0,1,0,1
5,Joe Allen,4.0,wls WAL,CM,27-158,90,12,16,75.0,149,64,8,10,80.0,3,3,100.0,0,1,0.0,0,0.0,0.0,0,2,0,0,1
6,Darren Fletcher,24.0,sct SCO,CM,33-199,90,16,29,55.2,290,125,7,11,63.6,8,10,80.0,1,6,16.7,0,0.2,0.0,2,0,0,0,2
7,Erik Pieters,3.0,nl NED,WB,29-012,88,15,27,55.6,250,109,10,12,83.3,3,9,33.3,2,4,50.0,0,0.0,0.1,1,2,2,1,3
8,Bruno Martins Indi,15.0,nl NED,WB,25-192,2,1,1,100.0,18,15,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
9,Mame Biram Diouf,18.0,sn SEN,WB,29-246,90,6,17,35.3,130,85,2,2,100.0,4,11,36.4,0,4,0.0,0,0.0,0.0,0,1,0,0,1
10,Geoff Cameron,20.0,us USA,CB,32-039,90,17,21,81.0,308,127,7,8,87.5,8,9,88.9,2,4,50.0,0,0.0,0.0,0,0,0,0,1
11,Ryan Shawcross,17.0,eng ENG,CB,29-319,90,6,8,75.0,101,41,2,2,100.0,4,5,80.0,0,0,,0,0.0,0.0,0,0,0,0,0
12,Kurt Zouma,6.0,fr FRA,CB,22-296,90,17,22,77.3,400,184,4,5,80.0,11,14,78.6,2,3,66.7,0,0.0,0.0,0,1,0,0,3
13,Jack Butland,1.0,eng ENG,GK,24-162,90,20,43,46.5,1093,976,0,0,,3,3,100.0,17,39,43.6,0,0.0,0.0,0,4,0,0,0
14,14 Players,,,,,990,151,243,62.1,3390,1900,63,80,78.8,57,81,70.4,29,71,40.8,1,0.6,0.7,8,13,5,2,16
