,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Jordan Ayew,18.0,gh GHA,FW,25-342,90,0,0,0,2,3,1,2,1,3,0,0,0,4,4,5,44.4
1,Tammy Abraham,10.0,eng ENG,FW,19-321,81,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,
2,Oliver McBurnie,62.0,sct SCO,FW,21-076,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
3,Martin Olsson,16.0,se SWE,"LW,LB",29-094,90,0,0,0,1,1,0,4,3,0,0,0,0,5,2,0,100.0
4,Kyle Naughton,26.0,eng ENG,"RW,RB",28-275,90,0,0,0,0,1,0,5,0,2,0,0,0,8,3,0,100.0
5,Tom Carroll,14.0,eng ENG,CM,25-083,90,0,0,0,1,2,0,6,1,3,0,0,0,9,0,1,0.0
6,Leroy Fer,8.0,nl NED,CM,27-226,90,1,0,0,2,1,0,1,1,2,0,0,0,5,0,0,
7,Roque Mesa,51.0,es ESP,DM,28-073,66,0,0,0,2,0,0,1,0,0,0,0,0,7,0,0,
8,Luciano Narsingh,11.0,nl NED,RM,26-340,24,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0.0
9,Alfie Mawson,6.0,eng ENG,CB,23-212,90,0,0,0,1,0,0,0,0,0,0,0,0,8,5,2,71.4
10,Kyle Bartley,27.0,eng ENG,CB,26-089,66,0,0,0,0,0,0,0,3,1,0,0,0,1,5,0,100.0
11,Wayne Routledge,15.0,eng ENG,LM,32-224,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
12,Federico Fernández,33.0,ar ARG,CB,28-179,90,0,0,0,0,1,0,1,1,2,0,0,0,7,0,1,0.0
13,Łukasz Fabiański,1.0,pl POL,GK,32-123,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,14 Players,,,,,990,1,0,0,12,11,1,22,10,14,0,0,0,57,19,11,63.3
