,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Jay Rodriguez,19.0,eng ENG,"FW,RM",28-014,87,1,0,0,4,0,1,1,0,0,0,0,0,2,0,7,0.0
1,Salomón Rondón,9.0,ve VEN,FW,27-330,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
2,James McClean,14.0,ie IRL,LM,28-112,90,0,0,0,2,0,1,3,0,6,0,0,0,4,0,2,0.0
3,Sam Field,28.0,eng ENG,CM,19-096,69,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,
4,Rekeem Harper,34.0,eng ENG,CM,17-157,21,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,
5,Jake Livermore,8.0,eng ENG,CM,27-271,90,0,0,0,0,1,0,0,0,2,0,0,0,9,3,1,75.0
6,Matt Phillips,10.0,sct SCO,RM,26-152,71,0,0,0,0,0,0,5,1,0,0,0,0,3,1,0,100.0
7,Hal Robson-Kanu,4.0,wls WAL,"FW,RM",28-083,19,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0.0
8,Claudio Yacob,5.0,ar ARG,DM,30-025,90,1,0,0,2,0,0,0,2,1,0,0,0,4,1,1,50.0
9,Chris Brunt,11.0,nir NIR,LB,32-241,90,0,0,0,1,0,0,6,0,3,0,0,0,6,1,0,100.0
10,Ahmed Hegazi,26.0,eg EGY,CB,26-199,90,0,0,0,1,0,0,0,3,0,0,0,0,4,4,2,66.7
11,Craig Dawson,25.0,eng ENG,CB,27-098,90,0,0,0,1,0,0,0,7,0,0,0,0,4,2,1,66.7
12,Allan Nyom,2.0,cm CMR,RB,29-094,90,0,0,0,0,1,0,1,1,2,0,0,0,7,0,0,
13,Ben Foster,1.0,eng ENG,GK,34-131,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
14,14 Players,,,,,990,3,0,0,15,2,2,16,14,15,0,0,0,49,12,16,42.9
