,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Jay Rodriguez,19.0,eng ENG,"FW,LM",28-021,90,17,17,0,0,0,0,1,0,0,0,0,0,11,0,0
1,James McClean,14.0,ie IRL,LM,28-119,62,11,11,0,0,0,0,0,0,0,0,0,0,9,0,1
2,Hal Robson-Kanu,4.0,wls WAL,"FW,LM",28-090,20,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
3,Sam Field,28.0,eng ENG,CM,19-103,85,17,17,0,0,0,0,0,0,0,0,0,0,7,0,0
4,Salomón Rondón,9.0,ve VEN,CM,27-337,5,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
5,Jake Livermore,8.0,eng ENG,CM,27-278,90,20,17,1,0,0,1,0,0,0,0,0,0,13,2,1
6,Matt Phillips,10.0,sct SCO,RM,26-159,90,24,19,5,2,0,0,6,2,1,1,0,0,10,0,2
7,Gareth Barry,18.0,eng ENG,DM,36-177,90,24,23,0,0,0,0,0,0,0,0,0,0,15,1,0
8,Chris Brunt,11.0,nir NIR,LB,32-248,90,43,28,15,1,0,0,5,10,4,4,0,0,17,0,0
9,Ahmed Hegazi,26.0,eg EGY,CB,26-206,90,11,11,0,0,0,0,0,0,0,0,0,0,6,0,0
10,Craig Dawson,25.0,eng ENG,CB,27-105,90,23,22,1,1,0,1,0,0,0,0,0,0,14,0,0
11,Allan Nyom,2.0,cm CMR,RB,29-101,90,46,29,17,0,0,0,1,17,0,0,0,0,28,0,1
12,Ben Foster,1.0,eng ENG,GK,34-138,90,31,7,24,7,0,0,0,0,0,0,0,0,12,0,0
13,13 Players,,,,,982,274,208,63,11,0,2,13,29,5,5,0,0,147,3,5
