,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Sam Vokes,9.0,wls WAL,FW,27-295,90,15,15,0,0,0,0,0,0,0,0,0,0,4,0,0
1,Jeff Hendrick,13.0,ie IRL,FW,25-193,90,29,27,2,0,0,0,0,0,0,0,0,0,28,0,1
2,Robbie Brady,12.0,ie IRL,LM,25-210,90,27,18,9,4,0,0,10,0,5,1,3,0,16,0,2
3,Jack Cork,4.0,eng ENG,CM,28-048,90,40,39,1,0,0,0,0,0,0,0,0,0,33,0,2
4,Steven Defour,16.0,be BEL,CM,29-119,74,36,36,0,0,0,0,1,0,0,0,0,0,34,0,0
5,Jonathan Walters,19.0,ie IRL,FW,33-326,16,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
6,Jóhann Berg Guðmundsson,17.0,is ISL,RM,26-289,74,14,14,0,0,0,0,1,0,0,0,0,0,7,0,1
7,Scott Arfield,37.0,ca CAN,RM,28-284,16,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
8,Stephen Ward,23.0,ie IRL,LB,31-357,90,44,39,5,1,0,0,2,4,0,0,0,0,34,0,0
9,Ben Mee,6.0,eng ENG,CB,27-325,90,30,29,1,1,0,0,0,0,0,0,0,0,25,0,0
10,James Tarkowski,5.0,eng ENG,CB,24-266,90,31,30,1,1,0,0,0,0,0,0,0,0,23,0,0
11,Matthew Lowton,2.0,eng ENG,RB,28-064,90,36,33,3,0,0,0,2,3,0,0,0,0,31,0,0
12,Tom Heaton,1.0,eng ENG,GK,31-119,90,40,20,19,9,0,0,0,0,0,0,0,0,20,1,0
13,13 Players,,,,,990,348,306,41,16,0,0,16,7,5,1,3,0,257,1,6
