,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Benik Afobe,9.0,cd COD,FW,24-181,63,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0.0
1,Jermain Defoe,18.0,eng ENG,FW,34-309,27,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0
2,Joshua King,17.0,no NOR,FW,25-209,90,0,0,0,1,1,0,0,0,0,0,0,0,1,1,3,25.0
3,Marc Pugh,7.0,eng ENG,LM,30-132,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
4,Jordon Ibe,33.0,eng ENG,"RM,LM",21-247,45,0,0,0,0,2,0,4,0,2,0,0,0,4,0,0,
5,Harry Arter,8.0,ie IRL,CM,27-227,90,1,0,0,1,0,0,0,2,3,0,0,0,4,0,0,
6,Andrew Surman,6.0,eng ENG,CM,30-357,90,0,0,0,0,1,0,0,0,1,0,0,0,5,4,2,66.7
7,Ryan Fraser,24.0,sct SCO,"LM,RM",23-169,90,0,0,0,0,2,0,6,0,1,0,0,0,4,0,0,
8,Charlie Daniels,11.0,eng ENG,LB,30-339,90,0,0,0,0,1,0,1,0,1,0,0,0,6,0,1,0.0
9,Nathan Aké,5.0,nl NED,CB,22-175,90,0,0,0,0,1,0,1,1,4,0,0,0,9,4,0,100.0
10,Steve Cook,3.0,eng ENG,CB,26-115,90,0,0,0,0,3,0,0,1,1,0,0,0,5,2,0,100.0
11,Simon Francis,2.0,eng ENG,RB,32-177,79,0,0,0,0,1,0,9,1,0,0,0,0,3,4,2,66.7
12,Adam Smith,15.0,eng ENG,RB,26-105,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
13,Asmir Begović,27.0,ba BIH,GK,30-053,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
14,14 Players,,,,,990,1,0,0,3,15,0,24,5,13,0,0,0,43,16,12,57.1
