,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Roberto Firmino,9.0,br BRA,FW,25-314,80,0,0,0,0,0,0,0,,0,2,0,2,0,0,2,0
1,Divock Origi,27.0,be BEL,FW,22-116,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2,Sadio Mané,19.0,sn SEN,"LW,RW",25-124,90,1,1,0,1,0,0,0,,0,3,0,3,0,1,0,0
3,Mohamed Salah,11.0,eg EGY,RW,25-058,85,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
4,James Milner,7.0,eng ENG,RM,31-220,5,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0
5,Georginio Wijnaldum,5.0,nl NED,"LM,LW",26-274,90,1,0,1,0,0,1,2,50.0,1,0,0,0,1,2,1,0
6,Jordan Henderson,14.0,eng ENG,CM,27-056,90,2,2,0,1,1,0,2,0.0,2,1,0,1,1,3,0,0
7,Emre Can,23.0,de GER,"RM,LM",23-212,90,3,3,2,1,0,1,2,50.0,1,1,0,1,1,4,3,0
8,Alberto Moreno,18.0,es ESP,LB,25-038,90,5,3,4,1,0,2,4,50.0,2,2,0,2,1,6,6,0
9,Dejan Lovren,6.0,hr CRO,CB,28-038,90,1,1,0,1,0,1,3,33.3,2,1,1,0,2,3,4,0
10,Joël Matip,32.0,cm CMR,CB,26-004,90,1,1,1,0,0,0,0,,0,0,0,0,2,3,5,0
11,Trent Alexander-Arnold,66.0,eng ENG,RB,18-309,89,5,3,3,2,0,1,2,50.0,1,2,0,2,3,8,4,0
12,Joe Gomez,12.0,eng ENG,RB,20-081,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
13,Simon Mignolet,22.0,be BEL,GK,29-159,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,20,15,12,7,1,6,17,35.3,11,12,1,11,11,31,25,0
