,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Saido Berahino,9.0,bi BDI,FW,24-008,71,17,0,1,8,9,2,17,0,0,,0,,9,64,23,2,0,2,0,1,11,4
1,Peter Crouch,25.0,eng ENG,FW,36-194,19,11,1,3,2,6,4,11,0,0,,0,,1,1,1,0,0,0,0,0,9,2
2,Bojan Krkić,27.0,es ESP,AM,26-349,71,32,0,5,13,14,2,32,1,1,100.0,0,0.0,21,132,38,1,1,1,1,2,25,3
3,Eric Maxim Choupo-Moting,10.0,cm CMR,AM,28-142,19,17,0,4,5,9,5,17,3,1,33.3,2,66.7,11,165,117,3,1,2,1,1,12,8
4,Xherdan Shaqiri,22.0,ch SUI,AM,25-306,90,48,1,4,23,23,0,48,3,2,66.7,1,33.3,21,247,63,2,2,0,5,1,26,7
5,Darren Fletcher,24.0,sct SCO,CM,33-192,90,58,1,4,38,17,0,58,2,2,100.0,0,0.0,25,139,42,1,2,0,2,3,29,0
6,Joe Allen,4.0,wls WAL,CM,27-151,90,44,2,9,17,19,1,44,2,2,100.0,0,0.0,19,102,38,0,3,0,3,4,23,1
7,Erik Pieters,3.0,nl NED,WB,29-005,90,49,1,16,18,15,0,49,0,0,,0,,15,77,43,1,0,0,0,0,17,2
8,Mame Biram Diouf,18.0,sn SEN,WB,29-239,90,34,2,9,11,14,2,34,1,1,100.0,0,0.0,9,37,30,1,0,0,2,0,14,5
9,Geoff Cameron,20.0,us USA,CB,32-032,90,56,5,25,28,5,0,56,1,1,100.0,0,0.0,22,216,148,1,1,0,2,2,22,1
10,Ryan Shawcross,17.0,eng ENG,CB,29-312,90,26,5,19,5,2,0,26,0,0,,0,,6,30,17,0,0,0,1,0,6,0
11,Kurt Zouma,6.0,fr FRA,CB,22-289,90,50,8,24,24,2,0,50,0,0,,0,,21,145,113,0,0,0,0,0,22,0
12,Jack Butland,1.0,eng ENG,GK,24-155,90,31,23,31,0,0,0,31,0,0,,0,,10,79,56,0,0,0,0,0,11,0
13,13 Players,,,,,990,473,49,154,192,135,16,473,13,10,76.9,3,23.1,190,1434,729,12,10,5,17,14,227,33
