,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Álvaro Morata,9.0,es ESP,FW,24-301,78,0,0,0,1,0,0,2,0,0,0,0,0,2,4,1,80.0
1,Michy Batshuayi,23.0,be BEL,FW,23-322,12,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,
2,Willian,22.0,br BRA,FW,29-011,77,0,0,0,0,0,0,5,0,3,0,0,0,2,1,0,100.0
3,Pedro,11.0,es ESP,FW,30-023,13,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,
4,N'Golo Kanté,7.0,fr FRA,DM,26-144,90,0,0,0,2,0,0,3,1,4,0,0,0,11,0,1,0.0
5,David Luiz,30.0,br BRA,DM,30-120,90,1,0,0,4,4,0,0,1,5,0,0,0,10,0,1,0.0
6,Tiemoué Bakayoko,14.0,fr FRA,DM,23-003,90,0,0,0,6,2,0,0,3,1,0,0,0,2,3,3,50.0
7,Marcos Alonso,3.0,es ESP,WB,26-235,90,1,0,0,0,3,0,1,1,1,0,0,0,5,2,1,66.7
8,Victor Moses,15.0,ng NGA,WB,26-251,90,0,0,0,3,3,0,2,0,3,0,0,0,5,1,0,100.0
9,Antonio Rüdiger,2.0,de GER,CB,24-170,90,1,0,0,1,0,0,0,1,1,0,0,0,4,0,0,
10,Andreas Christensen,27.0,dk DEN,CB,21-132,90,0,0,0,1,0,0,0,1,1,0,0,0,3,1,1,50.0
11,César Azpilicueta,28.0,es ESP,CB,27-357,90,0,0,0,2,0,0,1,2,1,0,0,0,2,2,1,66.7
12,Thibaut Courtois,13.0,be BEL,GK,25-101,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
13,13 Players,,,,,990,3,0,0,21,14,0,15,10,22,0,0,1,47,14,9,60.9
