,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Eric Maxim Choupo-Moting,10.0,cm CMR,"AM,FW",28-149,90,19,17,0,0,0,1,2,0,0,0,0,0,9,2,0
1,Jesé,11.0,es ESP,AM,24-174,70,17,14,3,1,0,0,2,0,2,1,0,0,15,0,0
2,Ramadan Sobhi,32.0,eg EGY,AM,20-208,20,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1
3,Xherdan Shaqiri,22.0,ch SUI,AM,25-313,24,9,8,1,1,0,0,1,0,0,0,0,0,7,0,0
4,Saido Berahino,9.0,bi BDI,FW,24-015,66,11,10,1,0,1,0,0,0,0,0,0,0,8,0,0
5,Joe Allen,4.0,wls WAL,CM,27-158,90,16,16,0,0,0,0,1,0,0,0,0,0,12,0,0
6,Darren Fletcher,24.0,sct SCO,CM,33-199,90,29,26,3,3,1,0,2,0,0,0,0,0,16,0,1
7,Erik Pieters,3.0,nl NED,WB,29-012,88,27,24,2,0,0,0,1,2,0,0,0,0,15,1,1
8,Bruno Martins Indi,15.0,nl NED,WB,25-192,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
9,Mame Biram Diouf,18.0,sn SEN,WB,29-246,90,17,12,5,0,0,0,1,5,0,0,0,0,6,0,0
10,Geoff Cameron,20.0,us USA,CB,32-039,90,21,18,3,1,0,0,0,2,0,0,0,0,17,0,0
11,Ryan Shawcross,17.0,eng ENG,CB,29-319,90,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0
12,Kurt Zouma,6.0,fr FRA,CB,22-296,90,22,17,5,1,0,2,0,4,0,0,0,0,17,0,0
13,Jack Butland,1.0,eng ENG,GK,24-162,90,43,23,19,7,0,0,0,0,0,0,0,0,20,1,0
14,14 Players,,,,,990,243,197,42,14,2,3,10,13,2,1,0,0,151,4,3
