,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Romelu Lukaku,9.0,be BEL,FW,24-092,90,16,26,61.5,142,43,11,17,64.7,3,5,60.0,0,0,,0,0.2,0.0,3,1,1,0,2
1,Marcus Rashford,19.0,eng ENG,LW,19-286,79,16,21,76.2,228,63,10,11,90.9,6,7,85.7,0,1,0.0,1,0.6,0.4,1,1,1,0,2
2,Anthony Martial,11.0,fr FRA,LW,21-251,11,6,7,85.7,60,15,5,5,100.0,1,1,100.0,0,1,0.0,1,0.0,0.0,1,1,0,0,0
3,Juan Mata,8.0,es ESP,RW,29-107,75,35,44,79.5,436,120,22,24,91.7,9,10,90.0,1,5,20.0,0,0.2,0.4,2,1,0,0,1
4,Marouane Fellaini,27.0,be BEL,AM,29-264,15,10,11,90.9,87,53,7,8,87.5,0,0,,0,0,,0,0.0,0.0,0,3,0,0,1
5,Henrikh Mkhitaryan,22.0,am ARM,"AM,RW",28-204,87,38,44,86.4,611,159,20,23,87.0,12,14,85.7,4,5,80.0,2,0.8,0.6,5,2,1,0,4
6,Jesse Lingard,14.0,eng ENG,RW,24-241,3,4,4,100.0,62,5,2,2,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
7,Nemanja Matić,31.0,rs SRB,DM,29-012,90,59,69,85.5,1049,381,26,30,86.7,26,27,96.3,5,8,62.5,0,0.0,0.0,0,10,0,0,12
8,Paul Pogba,6.0,fr FRA,DM,24-151,90,55,65,84.6,841,289,32,33,97.0,20,23,87.0,3,7,42.9,0,0.1,0.5,2,5,3,0,10
9,Daley Blind,17.0,nl NED,LB,27-157,90,38,56,67.9,623,202,23,26,88.5,10,18,55.6,5,11,45.5,0,0.0,0.1,1,4,1,1,0
10,Phil Jones,4.0,eng ENG,CB,25-173,90,55,60,91.7,1137,264,15,18,83.3,31,33,93.9,9,9,100.0,0,0.0,0.0,0,2,0,0,2
11,Eric Bailly,3.0,ci CIV,CB,23-123,90,43,53,81.1,795,280,14,16,87.5,27,27,100.0,2,6,33.3,0,0.0,0.0,0,0,0,0,4
12,Antonio Valencia,25.0,ec ECU,RB,32-009,90,45,49,91.8,712,254,28,28,100.0,10,11,90.9,5,7,71.4,0,0.0,0.0,1,5,1,1,4
13,David de Gea,1.0,es ESP,GK,26-279,90,22,29,75.9,864,741,0,0,,10,10,100.0,12,19,63.2,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,442,538,82.2,7647,2869,215,241,89.2,167,188,88.8,46,79,58.2,4,1.9,2.2,16,35,8,2,42
