,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Manolo Gabbiadini,20.0,it ITA,FW,25-259,68,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
1,Charlie Austin,10.0,eng ENG,FW,28-038,22,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2,Nathan Redmond,22.0,eng ENG,LW,23-159,90,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0
3,James Ward-Prowse,16.0,eng ENG,RW,22-284,70,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
4,Sofiane Boufal,19.0,ma MAR,RW,23-329,20,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
5,Dušan Tadić,11.0,rs SRB,AM,28-265,90,2,1,1,1,0,0,1,0.0,1,2,0,2,1,3,1,0
6,Steven Davis,8.0,nir NIR,DM,32-223,90,3,3,1,2,0,0,0,,0,0,0,0,0,3,2,0
7,Oriol Romeu,14.0,es ESP,DM,25-322,90,3,2,2,1,0,1,3,33.3,2,0,0,0,4,7,0,0
8,Ryan Bertrand,21.0,eng ENG,LB,28-007,85,1,1,0,1,0,0,0,,0,0,0,0,1,2,0,0
9,Sam McQueen,38.0,eng ENG,LB,22-187,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
10,Maya Yoshida,3.0,jp JPN,CB,28-353,90,1,1,1,0,0,1,2,50.0,1,0,0,0,3,4,3,0
11,Jack Stephens,5.0,eng ENG,CB,23-197,90,0,0,0,0,0,0,0,,0,1,1,0,3,3,1,0
12,Cédric Soares,2.0,pt POR,RB,25-346,90,1,1,0,1,0,0,0,,0,2,1,1,0,1,2,0
13,Fraser Forster,44.0,eng ENG,GK,29-148,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,12,10,5,7,0,2,6,33.3,4,8,2,6,12,24,11,0
