,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Jamie Vardy,9.0,eng ENG,FW,30-220,89,15,19,78.9,210,37,8,9,88.9,3,3,100.0,1,2,50.0,0,0.7,0.4,1,0,1,1,1
1,Demarai Gray,7.0,eng ENG,FW,21-052,1,1,1,100.0,9,9,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
2,Shinji Okazaki,20.0,jp JPN,FW,31-125,75,13,17,76.5,130,15,11,13,84.6,1,2,50.0,0,0,,0,0.2,0.2,1,0,0,0,1
3,Islam Slimani,19.0,dz ALG,FW,29-062,15,3,4,75.0,47,13,2,2,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0
4,Marc Albrighton,11.0,eng ENG,LM,27-274,90,21,37,56.8,292,90,13,15,86.7,6,15,40.0,1,6,16.7,0,0.2,0.2,2,3,0,0,1
5,Matty James,22.0,eng ENG,CM,26-028,90,36,44,81.8,568,122,22,26,84.6,11,13,84.6,3,4,75.0,0,0.1,0.0,1,0,0,0,1
6,Wilfred Ndidi,25.0,ng NGA,CM,20-246,90,34,55,61.8,669,173,11,16,68.8,17,28,60.7,6,7,85.7,0,0.0,0.0,0,3,0,0,6
7,Riyad Mahrez,26.0,dz ALG,RM,26-179,90,39,49,79.6,647,197,19,21,90.5,15,18,83.3,4,8,50.0,1,0.2,0.2,2,4,1,0,10
8,Christian Fuchs,28.0,at AUT,LB,31-134,90,49,61,80.3,708,228,28,31,90.3,17,19,89.5,3,6,50.0,0,0.0,0.0,0,1,1,0,5
9,Harry Maguire,15.0,eng ENG,CB,24-167,90,55,64,85.9,1166,430,17,21,81.0,31,34,91.2,6,8,75.0,0,0.0,0.0,0,7,0,0,7
10,Wes Morgan,5.0,jm JAM,CB,33-210,90,33,38,86.8,603,172,12,13,92.3,16,18,88.9,3,5,60.0,0,0.0,0.0,1,0,0,0,0
11,Danny Simpson,2.0,eng ENG,RB,30-227,90,35,47,74.5,599,269,17,17,100.0,14,22,63.6,4,7,57.1,0,0.0,0.0,0,2,0,0,1
12,Kasper Schmeichel,1.0,dk DEN,GK,30-287,90,21,34,61.8,795,607,0,0,,8,8,100.0,13,26,50.0,0,0.0,0.0,0,0,0,0,0
13,13 Players,,,,,990,355,470,75.5,6443,2362,161,185,87.0,140,182,76.9,44,79,55.7,1,1.3,0.9,8,20,3,1,33
