,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Dwight Gayle,9.0,eng ENG,FW,26-307,51,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0
1,Joselu,21.0,es ESP,FW,27-146,39,12,11,0,0,0,0,0,0,0,0,0,0,8,1,1
2,Matt Ritchie,11.0,sct SCO,LW,27-344,90,49,41,7,2,0,0,6,2,3,2,1,0,29,1,2
3,Christian Atsu,30.0,gh GHA,RW,25-222,90,27,26,1,0,0,0,1,1,0,0,0,0,19,0,1
4,Ayoze Pérez,17.0,es ESP,AM,24-022,79,29,25,3,1,0,1,1,0,0,0,0,0,17,1,3
5,Jacob Murphy,7.0,eng ENG,AM,22-177,11,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
6,Mikel Merino,23.0,es ESP,DM,21-059,90,55,55,0,0,0,0,0,0,0,0,0,0,40,0,3
7,Isaac Hayden,14.0,eng ENG,DM,22-151,75,37,36,0,0,0,1,0,0,0,0,0,0,26,1,1
8,Mohamed Diamé,10.0,sn SEN,DM,30-067,15,12,12,0,0,0,0,0,0,0,0,0,0,10,0,0
9,Chancel Mbemba,18.0,cd COD,LB,23-012,90,43,31,12,0,0,0,1,12,0,0,0,0,31,0,2
10,Ciaran Clark,2.0,ie IRL,CB,27-328,90,48,44,3,1,0,0,0,2,0,0,0,0,39,1,1
11,Jamaal Lascelles,6.0,eng ENG,CB,23-282,90,48,45,3,3,0,0,0,0,0,0,0,0,41,0,0
12,Javier Manquillo,19.0,es ESP,RB,23-107,90,48,36,12,0,0,0,5,12,0,0,0,0,30,0,3
13,Rob Elliot,1.0,ie IRL,GK,31-112,90,45,28,17,9,0,0,0,0,0,0,0,0,28,0,0
14,14 Players,,,,,990,463,400,58,16,0,2,14,29,3,2,1,0,325,5,17
