,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Sam Vokes,9.0,wls WAL,FW,27-295,90,4,15,26.7,45,2,3,9,33.3,1,5,20.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0
1,Jeff Hendrick,13.0,ie IRL,FW,25-193,90,28,29,96.6,486,74,9,9,100.0,19,19,100.0,0,0,,0,0.0,0.1,1,3,2,0,5
2,Robbie Brady,12.0,ie IRL,LM,25-210,90,16,27,59.3,415,156,5,6,83.3,4,9,44.4,7,10,70.0,0,0.1,0.1,3,1,1,1,0
3,Jack Cork,4.0,eng ENG,CM,28-048,90,33,40,82.5,659,206,10,13,76.9,18,19,94.7,5,5,100.0,1,0.1,0.0,1,3,0,0,5
4,Steven Defour,16.0,be BEL,CM,29-119,74,34,36,94.4,834,268,7,8,87.5,17,17,100.0,10,10,100.0,1,0.1,0.1,1,3,1,1,3
5,Jonathan Walters,19.0,ie IRL,FW,33-326,16,1,3,33.3,21,0,0,2,0.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
6,Jóhann Berg Guðmundsson,17.0,is ISL,RM,26-289,74,7,14,50.0,160,63,1,3,33.3,5,5,100.0,1,5,20.0,0,0.0,0.0,1,1,1,1,1
7,Scott Arfield,37.0,ca CAN,RM,28-284,16,1,3,33.3,27,0,0,2,0.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
8,Stephen Ward,23.0,ie IRL,LB,31-357,90,34,44,77.3,697,199,10,11,90.9,18,22,81.8,6,10,60.0,0,0.0,0.0,0,4,0,0,5
9,Ben Mee,6.0,eng ENG,CB,27-325,90,25,30,83.3,563,253,4,5,80.0,17,19,89.5,4,6,66.7,0,0.0,0.0,0,1,0,0,3
10,James Tarkowski,5.0,eng ENG,CB,24-266,90,23,31,74.2,542,283,3,3,100.0,14,17,82.4,6,11,54.5,0,0.0,0.1,0,1,1,0,0
11,Matthew Lowton,2.0,eng ENG,RB,28-064,90,31,36,86.1,768,229,5,7,71.4,17,19,89.5,9,10,90.0,1,0.1,0.0,1,3,1,1,4
12,Tom Heaton,1.0,eng ENG,GK,31-119,90,20,40,50.0,897,788,2,2,100.0,5,5,100.0,13,32,40.6,0,0.0,0.0,0,2,0,0,0
13,13 Players,,,,,990,257,348,73.9,6114,2521,59,80,73.8,137,158,86.7,61,100,61.0,3,0.4,0.6,8,22,7,4,26
