,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Romelu Lukaku,9.0,be BEL,FW,24-092,90,39,1,1,16,23,9,39,2,1,50.0,1,50.0,24,145,83,2,1,2,2,4,35,4
1,Marcus Rashford,19.0,eng ENG,LW,19-286,79,30,1,2,8,21,6,30,4,2,50.0,2,50.0,22,214,141,6,2,4,1,1,26,11
2,Anthony Martial,11.0,fr FRA,LW,21-251,11,10,0,0,3,7,3,10,1,1,100.0,0,0.0,8,113,93,5,1,2,0,0,9,0
3,Juan Mata,8.0,es ESP,RW,29-107,75,48,1,3,20,25,5,48,1,1,100.0,0,0.0,22,116,44,1,2,1,0,1,31,5
4,Marouane Fellaini,27.0,be BEL,AM,29-264,15,12,0,1,10,1,0,12,0,0,,0,,3,5,0,0,0,0,0,0,10,0
5,Henrikh Mkhitaryan,22.0,am ARM,"AM,RW",28-204,87,54,0,8,25,22,3,54,4,3,75.0,1,25.0,29,192,105,4,3,1,2,3,43,4
6,Jesse Lingard,14.0,eng ENG,RW,24-241,3,5,0,0,4,1,0,5,0,0,,0,,4,15,0,0,0,0,1,0,5,1
7,Nemanja Matić,31.0,rs SRB,DM,29-012,90,80,1,17,53,12,1,80,7,7,100.0,0,0.0,52,264,138,1,3,0,2,1,54,1
8,Paul Pogba,6.0,fr FRA,DM,24-151,90,77,3,9,45,23,2,77,8,6,75.0,2,25.0,53,321,188,6,5,2,2,2,65,8
9,Daley Blind,17.0,nl NED,LB,27-157,90,68,4,17,25,27,1,68,1,1,100.0,0,0.0,18,58,33,1,1,0,1,0,29,3
10,Phil Jones,4.0,eng ENG,CB,25-173,90,70,3,41,29,0,0,70,0,0,,0,,41,125,66,0,0,0,0,0,47,0
11,Eric Bailly,3.0,ci CIV,CB,23-123,90,62,7,31,28,3,2,62,0,0,,0,,37,207,150,0,0,0,0,0,34,0
12,Antonio Valencia,25.0,ec ECU,RB,32-009,90,63,2,11,39,13,0,63,3,1,33.3,2,66.7,30,167,96,3,1,0,0,1,36,5
13,David de Gea,1.0,es ESP,GK,26-279,90,30,24,30,0,0,0,30,0,0,,0,,12,57,32,0,0,0,0,0,13,0
14,14 Players,,,,,990,648,47,171,305,178,32,648,31,23,74.2,8,25.8,355,1999,1169,29,19,12,11,13,437,42
