,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Alexandre Lacazette,9.0,fr FRA,"FW,LW,LM",26-075,90,0,0,0,2,2,2,2,0,1,0,0,0,2,1,2,33.3
1,Danny Welbeck,23.0,eng ENG,"AM,FW",26-258,74,0,0,0,1,1,1,0,1,1,0,0,0,2,1,1,50.0
2,Theo Walcott,14.0,eng ENG,RW,28-148,16,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,
3,Mesut Özil,11.0,de GER,"AM,RM",28-300,90,0,0,0,0,2,1,3,0,0,0,0,0,2,0,0,
4,Granit Xhaka,29.0,ch SUI,"CM,DM",24-318,90,0,0,0,1,0,0,6,1,0,0,0,0,8,0,2,0.0
5,Mohamed Elneny,35.0,eg EGY,CM,25-031,66,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0.0
6,Aaron Ramsey,8.0,wls WAL,"DM,CM",26-228,24,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,100.0
7,Alex Oxlade-Chamberlain,15.0,eng ENG,"WB,RB",23-361,90,0,0,0,1,1,0,7,3,3,0,0,0,10,3,2,60.0
8,Héctor Bellerín,24.0,es ESP,"WB,LB",22-145,90,0,0,0,1,0,0,0,0,2,0,0,0,7,3,4,42.9
9,Sead Kolašinac,31.0,ba BIH,CB,24-052,90,0,0,0,1,1,0,2,1,4,0,0,0,7,0,0,
10,Nacho Monreal,18.0,es ESP,CB,31-166,90,0,0,0,0,0,0,0,5,2,0,0,0,7,3,3,50.0
11,Rob Holding,16.0,eng ENG,CB,21-325,66,0,0,0,2,2,0,0,1,1,0,0,0,7,2,1,66.7
12,Olivier Giroud,12.0,fr FRA,FW,30-315,24,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,75.0
13,Petr Čech,33.0,cz CZE,GK,35-083,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
14,14 Players,,,,,990,0,0,0,9,12,5,20,13,17,0,0,0,57,18,17,51.4
