,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Sam Vokes,9.0,wls WAL,FW,27-302,90,24,24,0,0,0,0,0,0,0,0,0,0,13,0,0
1,Jeff Hendrick,13.0,ie IRL,"FW,LM",25-200,90,39,37,2,0,0,0,1,0,0,0,0,0,30,0,1
2,Robbie Brady,12.0,ie IRL,LM,25-217,77,46,41,5,0,0,1,7,1,4,3,1,0,31,0,0
3,Jonathan Walters,19.0,ie IRL,LW,33-333,13,4,3,0,0,0,0,1,0,0,0,0,0,1,1,1
4,Steven Defour,16.0,be BEL,"CM,RM",29-126,90,77,74,3,2,0,0,7,0,1,0,0,0,65,0,1
5,Jack Cork,4.0,eng ENG,CM,28-055,90,66,65,1,1,0,0,0,0,0,0,0,0,54,0,0
6,Jóhann Berg Guðmundsson,17.0,is ISL,RM,26-296,78,27,26,1,0,0,0,5,1,0,0,0,0,23,0,0
7,Ashley Barnes,10.0,eng ENG,RW,27-293,12,4,4,0,0,0,0,1,0,0,0,0,0,2,0,0
8,Stephen Ward,23.0,ie IRL,LB,31-364,90,53,42,11,0,0,0,3,11,0,0,0,0,39,0,1
9,Ben Mee,6.0,eng ENG,CB,27-332,90,48,47,1,1,0,0,0,0,0,0,0,0,42,0,0
10,James Tarkowski,5.0,eng ENG,CB,24-273,90,54,53,1,1,0,2,1,0,0,0,0,0,43,0,0
11,Matthew Lowton,2.0,eng ENG,RB,28-071,90,58,49,9,0,0,0,7,9,0,0,0,0,42,0,2
12,Tom Heaton,1.0,eng ENG,GK,31-126,90,33,16,17,8,0,0,0,0,0,0,0,0,21,0,0
13,13 Players,,,,,990,533,481,51,13,0,3,33,22,5,3,1,0,406,1,6
