,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Saido Berahino,9.0,bi BDI,FW,24-008,71,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
1,Peter Crouch,25.0,eng ENG,FW,36-194,19,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
2,Bojan Krkić,27.0,es ESP,AM,26-349,71,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
3,Eric Maxim Choupo-Moting,10.0,cm CMR,AM,28-142,19,2,1,1,0,1,0,0,,0,0,0,0,0,2,0,0
4,Xherdan Shaqiri,22.0,ch SUI,AM,25-306,90,2,1,2,0,0,1,1,100.0,0,0,0,0,1,3,0,0
5,Darren Fletcher,24.0,sct SCO,CM,33-192,90,2,2,0,1,1,1,1,100.0,0,0,0,0,6,8,0,0
6,Joe Allen,4.0,wls WAL,CM,27-151,90,1,1,0,1,0,0,0,,0,0,0,0,2,3,2,0
7,Erik Pieters,3.0,nl NED,WB,29-005,90,4,3,3,1,0,0,0,,0,1,0,1,4,8,3,0
8,Mame Biram Diouf,18.0,sn SEN,WB,29-239,90,2,0,1,1,0,1,1,100.0,0,4,0,4,2,4,2,0
9,Geoff Cameron,20.0,us USA,CB,32-032,90,2,2,2,0,0,2,2,100.0,0,1,0,1,4,6,3,0
10,Ryan Shawcross,17.0,eng ENG,CB,29-312,90,3,2,2,1,0,1,1,100.0,0,1,0,1,4,7,6,0
11,Kurt Zouma,6.0,fr FRA,CB,22-289,90,0,0,0,0,0,0,0,,0,2,2,0,0,0,8,1
12,Jack Butland,1.0,eng ENG,GK,24-155,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
13,13 Players,,,,,990,18,12,11,5,2,6,7,85.7,1,10,2,8,24,42,26,1
