,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Javier Hernández,17.0,mx MEX,FW,29-073,90,27,25,2,0,1,0,1,0,0,0,0,0,19,0,1
1,Marko Arnautović,27.0,at AUT,"LW,LM",28-116,90,30,25,5,4,0,0,6,0,1,0,1,0,20,0,1
2,André Ayew,20.0,gh GHA,"RW,RM",27-239,90,30,30,0,0,0,0,0,0,0,0,0,0,25,0,1
3,Edimilson Fernandes,31.0,ch SUI,AM,21-120,59,19,19,0,0,0,0,0,0,0,0,0,0,15,0,0
4,Diafra Sakho,15.0,sn SEN,FW,27-232,31,7,5,1,0,0,0,0,0,0,0,0,0,4,1,0
5,Pedro Obiang,14.0,gq EQG,"DM,CM",25-139,90,56,49,6,6,0,1,0,0,0,0,0,0,44,1,2
6,Mark Noble,16.0,eng ENG,DM,30-097,60,30,27,2,0,0,0,0,0,0,0,0,0,25,1,0
7,Declan Rice,41.0,eng ENG,CM,18-211,30,23,22,1,1,0,0,0,0,0,0,0,0,22,0,0
8,Arthur Masuaku,26.0,cd COD,LB,23-279,80,31,25,5,2,0,0,3,3,0,0,0,0,24,1,0
9,Aaron Cresswell,3.0,eng ENG,LB,27-241,10,13,12,1,0,0,0,2,1,0,0,0,0,10,0,2
10,Angelo Ogbonna,21.0,it ITA,CB,29-082,90,44,43,1,1,0,0,0,0,0,0,0,0,35,0,0
11,Winston Reid,2.0,nz NZL,CB,29-041,90,47,47,0,0,0,0,1,0,0,0,0,0,41,0,0
12,Pablo Zabaleta,5.0,ar ARG,RB,32-209,90,41,31,10,1,0,0,1,9,0,0,0,0,26,0,0
13,Joe Hart,25.0,eng ENG,GK,30-116,90,35,17,18,5,0,0,0,0,0,0,0,0,21,0,0
14,14 Players,,,,,990,433,377,52,20,1,1,14,13,1,0,1,0,331,4,7
