,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Daniel Sturridge,15.0,eng ENG,FW,27-352,60,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,
1,Mohamed Salah,11.0,eg EGY,"RW,RM",25-065,30,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,100.0
2,Roberto Firmino,9.0,br BRA,"LW,FW",25-321,89,0,0,0,3,0,1,0,0,3,0,0,0,6,1,3,25.0
3,Dejan Lovren,6.0,hr CRO,CB,28-045,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Sadio Mané,19.0,sn SEN,"RW,LW,LM",25-131,90,0,0,0,1,0,0,3,0,1,0,0,0,3,1,1,50.0
5,James Milner,7.0,eng ENG,"LM,DM,CM",31-227,90,0,0,0,3,0,0,6,0,2,0,0,0,7,2,1,66.7
6,Jordan Henderson,14.0,eng ENG,"CM,DM",27-063,90,1,0,0,2,0,0,1,3,2,0,0,0,10,2,0,100.0
7,Georginio Wijnaldum,5.0,nl NED,RM,26-281,70,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0.0
8,Dominic Solanke,29.0,eng ENG,"AM,FW",19-339,20,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0
9,Andrew Robertson,26.0,sct SCO,LB,23-161,90,0,0,0,0,0,0,10,1,1,0,0,0,8,0,1,0.0
10,Ragnar Klavan,17.0,ee EST,CB,31-293,90,0,0,0,1,2,0,0,0,1,0,0,0,5,4,4,50.0
11,Joël Matip,32.0,cm CMR,CB,26-011,90,0,0,0,0,6,0,0,1,3,0,0,0,6,4,2,66.7
12,Joe Gomez,12.0,eng ENG,RB,20-088,90,0,0,0,0,1,0,2,1,3,0,0,0,10,0,0,
13,Simon Mignolet,22.0,be BEL,GK,29-166,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
14,14 Players,,,,,990,1,0,0,12,13,2,22,6,16,0,0,0,65,17,13,56.7
