,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Harry Kane,10.0,eng ENG,FW,24-023,90,20,18,2,1,0,0,1,0,0,0,0,0,11,0,1
1,Dele Alli,20.0,eng ENG,AM,21-131,90,48,47,1,1,0,1,1,0,0,0,0,0,41,0,2
2,Christian Eriksen,23.0,dk DEN,AM,25-187,90,76,56,20,11,0,1,13,2,5,3,2,0,57,0,5
3,Mousa Dembélé,19.0,be BEL,"LM,CM",30-035,90,54,49,5,3,0,0,0,2,0,0,0,0,50,0,1
4,Victor Wanyama,12.0,ke KEN,"CM,CB",26-056,90,59,58,1,0,0,0,0,1,0,0,0,0,53,0,1
5,Eric Dier,15.0,eng ENG,RM,23-217,67,67,66,1,1,0,0,4,0,0,0,0,0,57,0,1
6,Son Heung-min,7.0,kr KOR,"CB,WB",25-043,23,12,11,1,0,0,0,0,1,0,0,0,0,9,0,0
7,Ben Davies,33.0,wls WAL,LB,24-118,79,60,46,14,0,0,0,11,7,7,5,0,0,44,0,2
8,Moussa Sissoko,17.0,fr FRA,"CM,LB",28-004,11,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
9,Jan Vertonghen,5.0,be BEL,CB,30-118,90,87,84,3,2,0,0,3,1,0,0,0,0,68,0,0
10,Toby Alderweireld,4.0,be BEL,CB,28-171,90,77,75,2,1,0,2,0,1,0,0,0,0,70,0,1
11,Kieran Trippier,2.0,eng ENG,"RB,WB",26-335,89,67,55,12,0,0,0,4,10,2,0,1,0,51,0,3
12,Vincent Janssen,9.0,nl NED,WB,23-066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Hugo Lloris,1.0,fr FRA,GK,30-237,90,29,23,6,1,0,0,0,0,0,0,0,0,23,0,1
14,14 Players,,,,,990,659,591,68,21,0,4,37,25,14,8,3,0,536,0,18
