,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Daniel Sturridge,15.0,eng ENG,FW,27-352,60,0,0,0,0,2,0,0,0,27,0,0,0,0.2,0.2,0.0,4,0,15,19,78.9,2,22,2,4,4
1,Mohamed Salah,11.0,eg EGY,"RW,RM",25-065,30,0,0,0,0,2,2,0,0,17,1,0,0,0.1,0.1,0.1,4,0,9,12,75.0,1,12,0,1,1
2,Roberto Firmino,9.0,br BRA,"LW,FW",25-321,89,0,0,0,0,5,2,0,0,59,3,0,2,0.1,0.1,0.1,4,0,37,48,77.1,6,43,8,2,0
3,Dejan Lovren,6.0,hr CRO,CB,28-045,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
4,Sadio Mané,19.0,sn SEN,"RW,LW,LM",25-131,90,1,0,0,0,5,4,0,0,72,1,0,0,1.0,1.0,0.0,5,1,43,56,76.8,8,50,6,4,2
5,James Milner,7.0,eng ENG,"LM,DM,CM",31-227,90,0,0,0,0,2,1,0,0,122,2,0,1,0.2,0.2,0.0,9,0,105,115,91.3,19,80,2,1,1
6,Jordan Henderson,14.0,eng ENG,"CM,DM",27-063,90,0,0,0,0,1,1,1,0,95,5,3,1,0.0,0.0,0.1,2,0,63,83,75.9,3,48,1,0,0
7,Georginio Wijnaldum,5.0,nl NED,RM,26-281,70,0,0,0,0,2,1,0,0,34,1,0,1,0.2,0.2,0.0,2,0,23,29,79.3,1,26,0,1,1
8,Dominic Solanke,29.0,eng ENG,"AM,FW",19-339,20,0,0,0,0,1,1,0,0,12,1,0,0,0.1,0.1,0.0,1,0,6,8,75.0,0,7,1,0,0
9,Andrew Robertson,26.0,sct SCO,LB,23-161,90,0,0,0,0,2,1,0,0,131,1,1,0,0.1,0.1,1.0,4,1,103,125,82.4,13,82,10,0,0
10,Ragnar Klavan,17.0,ee EST,CB,31-293,90,0,0,0,0,0,0,0,0,93,1,0,0,0.0,0.0,0.0,2,0,80,87,92.0,6,70,1,3,3
11,Joël Matip,32.0,cm CMR,CB,26-011,90,0,0,0,0,1,0,0,0,81,4,1,0,0.6,0.6,0.1,2,0,66,75,88.0,3,53,0,0,0
12,Joe Gomez,12.0,eng ENG,RB,20-088,90,0,0,0,0,0,0,0,0,87,4,1,0,0.0,0.0,0.1,2,0,64,79,81.0,9,49,2,1,1
13,Simon Mignolet,22.0,be BEL,GK,29-166,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,22,27,81.5,0,7,0,0,0
14,14 Players,,,,,990,1,0,0,0,23,13,1,0,858,24,6,5,2.5,2.5,1.5,41,2,636,763,83.4,71,549,33,17,13
