,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Roberto Firmino,9.0,br BRA,FW,25-314,80,32,28,4,0,0,0,1,1,1,1,0,0,21,0,2
1,Divock Origi,27.0,be BEL,FW,22-116,10,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1
2,Sadio Mané,19.0,sn SEN,"LW,RW",25-124,90,31,31,0,0,1,0,2,0,0,0,0,0,20,0,2
3,Mohamed Salah,11.0,eg EGY,RW,25-058,85,20,20,0,0,0,0,1,0,0,0,0,0,14,0,3
4,James Milner,7.0,eng ENG,RM,31-220,5,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0
5,Georginio Wijnaldum,5.0,nl NED,"LM,LW",26-274,90,43,41,1,0,0,1,1,0,0,0,0,0,31,1,1
6,Jordan Henderson,14.0,eng ENG,CM,27-056,90,68,65,3,3,0,1,0,0,0,0,0,0,46,0,2
7,Emre Can,23.0,de GER,"RM,LM",23-212,90,41,40,1,0,1,0,0,1,0,0,0,0,33,0,0
8,Alberto Moreno,18.0,es ESP,LB,25-038,90,58,45,13,2,0,0,3,11,0,0,0,0,43,0,1
9,Dejan Lovren,6.0,hr CRO,CB,28-038,90,67,63,4,4,0,1,0,0,0,0,0,0,56,0,0
10,Joël Matip,32.0,cm CMR,CB,26-004,90,57,55,2,2,0,0,0,0,0,0,0,0,47,0,0
11,Trent Alexander-Arnold,66.0,eng ENG,RB,18-309,89,59,42,17,1,0,0,5,14,2,1,1,0,43,0,2
12,Joe Gomez,12.0,eng ENG,RB,20-081,1,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0
13,Simon Mignolet,22.0,be BEL,GK,29-159,90,42,32,10,3,0,0,0,0,0,0,0,0,28,0,0
14,14 Players,,,,,990,527,470,56,15,2,3,14,27,3,2,1,0,386,1,14
