,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Manolo Gabbiadini,20.0,it ITA,FW,25-266,79,22,20,2,0,0,0,0,0,0,0,0,0,19,0,0
1,Charlie Austin,10.0,eng ENG,FW,28-045,11,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
2,Nathan Redmond,22.0,eng ENG,LW,23-166,90,35,34,1,0,0,0,1,0,1,0,0,0,25,0,3
3,Dušan Tadić,11.0,rs SRB,"RW,AM",28-272,90,52,49,3,0,0,1,5,3,0,0,0,0,36,0,1
4,Steven Davis,8.0,nir NIR,"AM,DM",32-230,79,64,63,1,0,0,1,1,0,0,0,0,0,59,0,0
5,Shane Long,7.0,ie IRL,DM,30-209,11,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
6,Mario Lemina,18.0,ga GAB,DM,23-352,64,53,53,0,0,0,1,0,0,0,0,0,0,45,0,0
7,James Ward-Prowse,16.0,eng ENG,RW,22-291,26,28,25,3,0,0,0,6,0,3,0,3,0,22,0,0
8,Oriol Romeu,14.0,es ESP,DM,25-329,90,102,101,1,1,0,0,0,0,0,0,0,0,90,0,0
9,Ryan Bertrand,21.0,eng ENG,LB,28-014,90,70,62,8,1,0,0,5,4,3,0,0,2,57,0,1
10,Maya Yoshida,3.0,jp JPN,CB,28-360,90,60,59,1,1,0,0,0,0,0,0,0,0,49,0,0
11,Jack Stephens,5.0,eng ENG,CB,23-204,90,48,47,1,1,0,0,0,0,0,0,0,0,44,0,0
12,Cédric Soares,2.0,pt POR,RB,25-353,90,49,38,10,1,0,0,8,9,0,0,0,0,37,1,1
13,Fraser Forster,44.0,eng ENG,GK,29-155,90,20,9,11,3,0,0,0,0,0,0,0,0,14,0,0
14,14 Players,,,,,990,613,570,42,8,0,3,26,16,7,0,3,2,505,1,6
