,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Saido Berahino,9.0,bi BDI,FW,24-008,71,8,13,61.5,117,17,4,7,57.1,2,3,66.7,1,1,100.0,0,0.0,0.0,1,1,0,0,1
1,Peter Crouch,25.0,eng ENG,FW,36-194,19,6,9,66.7,64,24,5,8,62.5,1,1,100.0,0,0,,0,0.1,0.0,1,0,0,0,2
2,Bojan Krkić,27.0,es ESP,AM,26-349,71,22,27,81.5,358,69,13,16,81.3,5,6,83.3,3,3,100.0,0,0.0,0.0,1,1,0,0,2
3,Eric Maxim Choupo-Moting,10.0,cm CMR,AM,28-142,19,6,11,54.5,64,4,4,5,80.0,1,3,33.3,0,0,,0,0.0,0.0,1,0,0,0,0
4,Xherdan Shaqiri,22.0,ch SUI,AM,25-306,90,20,35,57.1,342,98,7,7,100.0,11,14,78.6,1,12,8.3,0,0.0,0.3,0,2,2,0,4
5,Darren Fletcher,24.0,sct SCO,CM,33-192,90,30,47,63.8,595,198,14,17,82.4,11,13,84.6,5,14,35.7,0,0.0,0.0,0,7,1,0,6
6,Joe Allen,4.0,wls WAL,CM,27-151,90,26,34,76.5,439,138,14,14,100.0,9,13,69.2,2,4,50.0,0,0.0,0.1,1,3,3,0,6
7,Erik Pieters,3.0,nl NED,WB,29-005,90,24,36,66.7,418,241,8,9,88.9,13,17,76.5,2,6,33.3,0,0.0,0.0,0,3,2,1,4
8,Mame Biram Diouf,18.0,sn SEN,WB,29-239,90,12,20,60.0,174,54,10,11,90.9,1,5,20.0,1,2,50.0,0,0.1,0.0,1,0,1,0,2
9,Geoff Cameron,20.0,us USA,CB,32-032,90,25,45,55.6,507,261,8,9,88.9,12,21,57.1,4,13,30.8,0,0.0,0.0,0,4,0,0,3
10,Ryan Shawcross,17.0,eng ENG,CB,29-312,90,8,10,80.0,150,66,2,2,100.0,5,6,83.3,1,2,50.0,0,0.0,0.0,0,1,0,0,1
11,Kurt Zouma,6.0,fr FRA,CB,22-289,90,27,39,69.2,573,216,6,7,85.7,14,17,82.4,5,11,45.5,0,0.0,0.0,0,2,0,0,3
12,Jack Butland,1.0,eng ENG,GK,24-155,90,19,30,63.3,762,682,2,2,100.0,5,7,71.4,12,20,60.0,0,0.0,0.0,0,1,0,0,0
13,13 Players,,,,,990,233,356,65.4,4563,2068,97,114,85.1,90,126,71.4,37,88,42.0,0,0.3,0.6,6,25,9,1,34
