,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Sandro Ramírez,9.0,es ESP,"FW,LW",22-034,76,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
1,Kevin Mirallas,11.0,be BEL,"LW,FW",29-311,14,1,1,0,1,0,0,0,,0,0,0,0,0,1,2,0
2,Davy Klaassen,20.0,nl NED,"AM,CM",24-172,59,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0
3,Tom Davies,26.0,eng ENG,CM,19-043,31,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0
4,Wayne Rooney,10.0,eng ENG,"AM,RW",31-292,90,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,3,0
5,Idrissa Gana Gueye,17.0,sn SEN,"CM,RM",27-320,90,5,4,3,1,1,1,1,100.0,0,2,0,2,3,8,3,0
6,Morgan Schneiderlin,2.0,fr FRA,"CM,LM",27-277,90,5,3,3,2,0,0,3,0.0,3,0,0,0,6,11,1,0
7,Leighton Baines,3.0,eng ENG,"WB,LB",32-244,90,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,3,0
8,Dominic Calvert-Lewin,29.0,eng ENG,"WB,FW,LW",20-149,90,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0
9,Phil Jagielka,6.0,eng ENG,CB,34-360,90,0,0,0,0,0,0,1,0.0,1,0,0,0,3,3,10,0
10,Ashley Williams,5.0,wls WAL,CB,32-354,45,0,0,0,0,0,0,1,0.0,1,1,1,0,3,3,4,0
11,Cuco Martina,15.0,cw CUW,"RB,CB",27-321,45,1,1,0,0,1,0,1,0.0,1,0,0,0,1,2,4,0
12,Michael Keane,4.0,eng ENG,CB,24-213,90,1,1,1,0,0,1,1,100.0,0,2,1,1,2,3,9,0
13,Jordan Pickford,1.0,eng ENG,GK,23-158,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
14,14 Players,,,,,990,17,12,9,5,3,3,13,23.1,10,6,2,4,19,36,43,0
