,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Harry Kane,10.0,eng ENG,FW,24-016,90,30,1,1,12,17,6,30,3,1,33.3,1,33.3,18,104,24,1,1,1,2,0,21,7
1,Christian Eriksen,23.0,dk DEN,"LW,RW,AM",25-180,90,87,0,2,36,50,5,87,1,1,100.0,0,0.0,65,343,187,6,7,0,3,0,74,8
2,Moussa Sissoko,17.0,fr FRA,RW,27-362,57,38,1,3,20,15,5,38,3,1,33.3,1,33.3,22,136,60,2,1,0,1,1,28,9
3,Son Heung-min,7.0,kr KOR,"LW,RW",25-036,33,28,0,0,13,16,1,28,1,1,100.0,0,0.0,18,71,29,1,0,0,0,0,20,4
4,Dele Alli,20.0,eng ENG,AM,21-124,81,47,0,6,17,25,3,47,1,0,0.0,1,100.0,32,179,35,1,1,0,6,1,40,14
5,Victor Wanyama,12.0,ke KEN,"DM,AM",26-049,9,11,0,2,6,3,0,11,0,0,,0,,7,38,29,0,1,0,0,0,9,0
6,Mousa Dembélé,19.0,be BEL,"DM,AM",30-028,89,93,1,9,63,21,0,93,4,4,100.0,0,0.0,72,381,228,4,5,0,0,1,81,2
7,Harry Winks,29.0,eng ENG,"RW,AM",21-192,1,7,0,0,7,0,0,7,0,0,,0,,5,47,6,0,0,0,0,0,6,0
8,Eric Dier,15.0,eng ENG,DM,23-210,90,100,0,23,66,12,0,100,1,1,100.0,0,0.0,56,156,82,0,0,0,1,0,78,2
9,Ben Davies,33.0,wls WAL,LB,24-111,90,107,4,14,65,28,1,107,0,0,,0,,54,222,116,2,3,0,0,1,67,6
10,Jan Vertonghen,5.0,be BEL,CB,30-111,90,93,6,39,53,1,0,93,0,0,,0,,48,251,194,3,0,0,0,0,78,0
11,Toby Alderweireld,4.0,be BEL,CB,28-164,90,111,6,31,73,7,2,111,0,0,,0,,69,369,297,0,3,0,0,0,88,0
12,Kyle Walker-Peters,37.0,eng ENG,RB,20-122,90,78,4,16,31,32,2,78,3,1,33.3,2,66.7,44,247,131,5,2,1,0,1,55,13
13,Hugo Lloris,1.0,fr FRA,GK,30-230,90,35,28,35,0,0,0,35,0,0,,0,,20,65,48,0,0,0,0,0,15,0
14,14 Players,,,,,990,865,51,181,462,227,25,865,17,10,58.8,5,29.4,530,2609,1466,25,24,2,13,5,660,65
