,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Jay Rodriguez,19.0,eng ENG,"FW,LM",28-021,90,0,0,0,3,1,3,1,1,0,0,0,0,4,1,9,10.0
1,James McClean,14.0,ie IRL,LM,28-119,62,0,0,0,2,0,0,0,1,0,0,0,0,3,0,1,0.0
2,Hal Robson-Kanu,4.0,wls WAL,"FW,LM",28-090,20,0,1,0,2,2,0,0,0,1,0,0,0,1,0,1,0.0
3,Sam Field,28.0,eng ENG,CM,19-103,85,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,100.0
4,Salomón Rondón,9.0,ve VEN,CM,27-337,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
5,Jake Livermore,8.0,eng ENG,CM,27-278,90,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0.0
6,Matt Phillips,10.0,sct SCO,RM,26-159,90,0,0,0,1,2,0,6,1,1,0,0,0,3,1,1,50.0
7,Gareth Barry,18.0,eng ENG,DM,36-177,90,0,0,0,0,0,0,0,1,0,0,0,0,4,4,2,66.7
8,Chris Brunt,11.0,nir NIR,LB,32-248,90,0,0,0,1,0,0,5,0,0,0,0,0,3,0,0,
9,Ahmed Hegazi,26.0,eg EGY,CB,26-206,90,0,0,0,0,1,0,0,1,0,0,0,0,3,5,3,62.5
10,Craig Dawson,25.0,eng ENG,CB,27-105,90,0,0,0,1,2,0,0,2,0,0,0,0,1,4,4,50.0
11,Allan Nyom,2.0,cm CMR,RB,29-101,90,0,0,0,0,0,0,1,0,1,0,0,0,6,0,1,0.0
12,Ben Foster,1.0,eng ENG,GK,34-138,90,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
13,13 Players,,,,,982,0,1,0,11,11,3,13,8,3,0,0,0,33,18,23,43.9
