,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Alexandre Lacazette,9.0,fr FRA,FW,26-083,77,0,0,0,0,0,1,1,0,0,0,0,0,4,0,2,0.0
1,Theo Walcott,14.0,eng ENG,RW,28-156,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2,Danny Welbeck,23.0,eng ENG,"AM,LW",26-266,90,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
3,Mesut Özil,11.0,de GER,AM,28-308,90,0,0,0,0,1,0,2,0,0,0,0,0,2,0,1,0.0
4,Granit Xhaka,29.0,ch SUI,CM,24-326,78,0,0,0,1,0,0,5,3,0,0,0,0,6,0,0,
5,Alex Iwobi,17.0,ng NGA,DM,21-108,12,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
6,Aaron Ramsey,8.0,wls WAL,"CM,DM",26-236,90,0,0,0,3,2,0,2,0,3,0,0,0,8,0,0,
7,Héctor Bellerín,24.0,es ESP,"WB,LB",22-153,90,0,0,0,1,1,0,0,0,2,0,0,0,2,1,5,16.7
8,Alex Oxlade-Chamberlain,15.0,eng ENG,"WB,RB",24-004,90,0,0,0,0,0,1,8,3,0,0,0,0,9,1,3,25.0
9,Sead Kolašinac,31.0,ba BIH,CB,24-060,65,0,0,0,3,0,0,0,0,0,0,0,0,4,2,1,66.7
10,Olivier Giroud,12.0,fr FRA,"FW,CB",30-323,25,0,0,0,2,0,0,1,0,0,0,0,0,0,2,1,66.7
11,Nacho Monreal,18.0,es ESP,CB,31-174,90,0,0,0,0,0,0,2,0,2,0,0,0,8,1,2,33.3
12,Shkodran Mustafi,20.0,de GER,CB,25-124,90,0,0,0,0,0,1,3,1,2,0,0,0,6,2,2,50.0
13,Petr Čech,33.0,cz CZE,GK,35-091,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
14,14 Players,,,,,990,0,0,0,11,5,3,24,7,11,0,0,0,51,9,17,34.6
