,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Jordan Ayew,18.0,gh GHA,FW,25-342,90,0,0,0,0,2,0,0,0,49,4,1,0,0.1,0.1,0.0,5,0,28,38,73.7,1,35,6,4,3
1,Tammy Abraham,10.0,eng ENG,FW,19-321,81,0,0,0,0,1,0,0,0,21,0,0,0,0.2,0.2,0.0,0,0,12,14,85.7,1,16,0,2,1
2,Oliver McBurnie,62.0,sct SCO,FW,21-076,9,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,5,0,0,0
3,Martin Olsson,16.0,se SWE,"LW,LB",29-094,90,0,0,0,0,0,0,0,0,67,0,3,0,0.0,0.0,0.0,1,0,37,59,62.7,3,35,1,0,0
4,Kyle Naughton,26.0,eng ENG,"RW,RB",28-275,90,0,0,0,0,0,0,0,0,73,3,0,0,0.0,0.0,0.0,0,0,42,63,66.7,9,39,1,0,0
5,Tom Carroll,14.0,eng ENG,CM,25-083,90,0,0,0,0,0,0,0,0,77,5,1,2,0.0,0.0,0.3,2,0,58,69,84.1,6,54,4,0,0
6,Leroy Fer,8.0,nl NED,CM,27-226,90,0,0,0,0,1,0,1,0,62,2,1,1,0.0,0.0,0.0,0,0,49,55,89.1,5,43,2,1,1
7,Roque Mesa,51.0,es ESP,DM,28-073,66,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,30,37,81.1,0,23,0,1,0
8,Luciano Narsingh,11.0,nl NED,RM,26-340,24,0,0,0,0,0,0,0,0,11,2,0,0,0.0,0.0,0.0,0,0,5,7,71.4,0,7,0,0,0
9,Alfie Mawson,6.0,eng ENG,CB,23-212,90,0,0,0,0,0,0,0,0,46,0,0,1,0.0,0.0,0.0,0,0,25,36,69.4,1,26,0,0,0
10,Kyle Bartley,27.0,eng ENG,CB,26-089,66,0,0,0,0,1,0,0,0,28,1,3,1,0.1,0.1,0.0,0,0,11,13,84.6,0,4,0,0,0
11,Wayne Routledge,15.0,eng ENG,LM,32-224,24,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,5,0,0,0
12,Federico Fernández,33.0,ar ARG,CB,28-179,90,0,0,0,0,0,0,0,0,38,3,1,0,0.0,0.0,0.0,0,0,24,30,80.0,1,22,0,0,0
13,Łukasz Fabiański,1.0,pl POL,GK,32-123,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,17,28,60.7,0,15,0,0,0
14,14 Players,,,,,990,0,0,0,0,5,0,1,0,556,21,10,5,0.4,0.4,0.3,8,0,343,458,74.9,27,329,14,8,5
