,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Daniel Sturridge,15.0,eng ENG,FW,27-352,60,19,19,0,0,0,0,0,0,0,0,0,0,15,0,0
1,Mohamed Salah,11.0,eg EGY,"RW,RM",25-065,30,12,12,0,0,0,0,0,0,0,0,0,0,9,0,0
2,Roberto Firmino,9.0,br BRA,"LW,FW",25-321,89,48,46,2,0,0,0,0,2,0,0,0,0,37,0,3
3,Dejan Lovren,6.0,hr CRO,CB,28-045,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Sadio Mané,19.0,sn SEN,"RW,LW,LM",25-131,90,56,55,1,0,0,0,3,1,0,0,0,0,43,0,2
5,James Milner,7.0,eng ENG,"LM,DM,CM",31-227,90,115,109,6,1,0,1,6,1,4,2,0,0,105,0,1
6,Jordan Henderson,14.0,eng ENG,"CM,DM",27-063,90,83,79,4,4,1,1,1,0,0,0,0,0,63,0,1
7,Georginio Wijnaldum,5.0,nl NED,RM,26-281,70,29,27,1,0,0,0,0,0,0,0,0,0,23,1,1
8,Dominic Solanke,29.0,eng ENG,"AM,FW",19-339,20,8,8,0,0,1,0,0,0,0,0,0,0,6,0,0
9,Andrew Robertson,26.0,sct SCO,LB,23-161,90,125,115,10,1,0,0,10,9,0,0,0,0,103,0,3
10,Ragnar Klavan,17.0,ee EST,CB,31-293,90,87,85,2,1,0,0,0,1,0,0,0,0,80,0,1
11,Joël Matip,32.0,cm CMR,CB,26-011,90,75,71,4,3,0,0,0,1,0,0,0,0,66,0,0
12,Joe Gomez,12.0,eng ENG,RB,20-088,90,79,70,8,0,0,0,2,8,0,0,0,0,64,1,1
13,Simon Mignolet,22.0,be BEL,GK,29-166,90,27,18,9,4,0,0,0,0,0,0,0,0,22,0,0
14,14 Players,,,,,990,763,714,47,14,2,2,22,23,4,2,0,0,636,2,13
