,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Stefano Okaka,33.0,it ITA,FW,28-003,62,16,15,0,0,1,0,0,0,0,0,0,0,12,1,0
1,Andre Gray,18.0,jm JAM,FW,26-047,28,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
2,Roberto Pereyra,37.0,ar ARG,LW,26-217,48,3,3,0,0,0,2,0,0,0,0,0,0,3,0,0
3,Richarlison,11.0,br BRA,LW,20-094,42,7,7,0,0,0,0,1,0,0,0,0,0,4,0,0
4,Nordin Amrabat,7.0,ma MAR,RW,30-134,90,37,35,1,0,0,0,4,1,0,0,0,0,18,1,3
5,Nathaniel Chalobah,14.0,eng ENG,LM,22-243,90,26,25,1,0,1,0,0,0,0,0,0,0,19,0,1
6,Abdoulaye Doucouré,16.0,ml MLI,CM,24-223,90,73,70,3,3,0,0,0,0,0,0,0,0,60,0,1
7,Tom Cleverley,8.0,eng ENG,RM,28-000,90,46,39,6,1,0,0,1,1,1,1,0,0,32,1,2
8,José Holebas,25.0,gr GRE,LB,33-046,90,40,26,14,2,0,1,5,10,2,2,0,0,24,0,2
9,Miguel Britos,3.0,uy URU,CB,32-026,90,40,40,0,0,0,1,0,0,0,0,0,0,29,0,0
10,Younès Kaboul,4.0,fr FRA,CB,31-220,90,51,51,0,0,0,1,0,0,0,0,0,0,31,0,2
11,Daryl Janmaat,2.0,nl NED,RB,28-021,17,12,9,3,0,0,0,1,3,0,0,0,0,9,0,1
12,Kiko Femenía,21.0,es ESP,RB,26-191,73,47,36,11,0,0,0,4,11,0,0,0,0,36,0,3
13,Heurelho Gomes,1.0,br BRA,GK,36-178,90,45,30,15,3,0,0,0,0,0,0,0,0,25,0,0
14,14 Players,,,,,990,448,391,54,9,2,5,16,26,3,3,0,0,307,3,15
