,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Gabriel Jesus,33.0,br BRA,FW,20-131,77,20,26,76.9,265,26,9,13,69.2,5,6,83.3,1,1,100.0,0,0.0,0.1,0,0,1,0,3
1,Raheem Sterling,7.0,eng ENG,FW,22-247,13,6,6,100.0,60,3,4,4,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,1
2,Sergio Agüero,10.0,ar ARG,FW,29-071,82,14,21,66.7,157,18,8,10,80.0,3,4,75.0,0,0,,0,0.6,0.4,2,0,1,0,1
3,Bernardo Silva,20.0,pt POR,FW,23-002,8,12,15,80.0,141,7,8,10,80.0,3,4,75.0,0,0,,0,0.0,0.0,0,1,1,0,1
4,Danilo,3.0,br BRA,LW,26-028,67,40,48,83.3,606,55,20,22,90.9,15,17,88.2,2,4,50.0,0,0.0,0.0,0,0,0,0,1
5,Leroy Sané,19.0,de GER,LW,21-213,23,13,14,92.9,181,19,7,7,100.0,5,5,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0
6,Kyle Walker,2.0,eng ENG,RW,27-076,90,70,79,88.6,1002,322,35,39,89.7,23,25,92.0,4,6,66.7,0,0.0,0.2,1,7,3,1,7
7,David Silva,21.0,es ESP,CM,31-216,90,95,107,88.8,1459,292,47,50,94.0,39,43,90.7,5,8,62.5,1,0.5,0.8,5,13,3,0,14
8,Kevin De Bruyne,17.0,be BEL,CM,26-045,90,73,90,81.1,1237,285,35,40,87.5,28,33,84.8,7,11,63.6,0,0.0,0.6,0,7,5,0,16
9,Fernandinho,25.0,br BRA,DM,32-100,90,86,102,84.3,1268,358,42,43,97.7,29,35,82.9,5,11,45.5,0,0.1,0.1,1,8,1,0,16
10,Nicolás Otamendi,30.0,ar ARG,CB,29-181,90,94,102,92.2,1922,412,36,38,94.7,36,40,90.0,21,22,95.5,0,0.0,0.1,0,13,1,0,14
11,John Stones,5.0,eng ENG,CB,23-076,90,96,99,97.0,1601,762,43,44,97.7,44,44,100.0,5,6,83.3,0,0.0,0.0,0,8,0,0,3
12,Vincent Kompany,4.0,be BEL,CB,31-124,90,79,87,90.8,1424,419,30,33,90.9,41,45,91.1,6,7,85.7,0,0.0,0.0,0,13,0,0,10
13,Ederson,31.0,br BRA,GK,23-360,90,20,24,83.3,445,307,6,6,100.0,10,10,100.0,4,8,50.0,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,718,820,87.6,11768,3285,330,359,91.9,282,312,90.4,60,85,70.6,1,1.2,2.4,9,70,16,1,87
