,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Benik Afobe,9.0,cd COD,FW,24-188,58,15,1,2,4,10,4,15,0,0,,0,,10,70,30,1,1,0,1,2,9,2
1,Jermain Defoe,18.0,eng ENG,FW,34-316,32,4,0,0,0,4,2,4,0,0,,0,,4,14,4,0,0,0,0,1,5,2
2,Joshua King,17.0,no NOR,FW,25-216,90,25,2,3,10,12,7,25,0,0,,0,,18,115,62,5,1,3,1,4,19,6
3,Jordon Ibe,33.0,eng ENG,LM,21-254,59,31,0,3,11,18,1,31,3,1,33.3,2,66.7,24,152,47,1,1,1,1,4,22,7
4,Marc Pugh,7.0,eng ENG,LM,30-139,31,23,3,3,10,10,1,23,2,2,100.0,0,0.0,14,84,31,1,2,0,1,2,15,5
5,Harry Arter,8.0,ie IRL,CM,27-234,90,68,5,13,48,9,0,68,0,0,,0,,32,250,88,0,1,0,1,0,46,3
6,Andrew Surman,6.0,eng ENG,CM,30-364,90,75,6,20,45,10,0,75,0,0,,0,,36,179,81,1,1,0,1,2,49,0
7,Ryan Fraser,24.0,sct SCO,RM,23-176,77,30,0,3,8,19,2,30,0,0,,0,,13,44,19,0,1,0,2,0,19,3
8,Lys Mousset,31.0,fr FRA,RM,21-192,13,5,1,1,1,3,0,5,1,1,100.0,0,0.0,3,33,15,1,0,0,0,0,3,1
9,Charlie Daniels,11.0,eng ENG,LB,30-346,90,70,1,21,31,19,1,70,1,1,100.0,0,0.0,27,158,98,4,2,2,0,1,43,8
10,Nathan Aké,5.0,nl NED,CB,22-182,90,70,12,52,17,1,0,70,0,0,,0,,29,201,148,0,1,0,0,1,41,0
11,Steve Cook,3.0,eng ENG,CB,26-122,90,77,8,47,26,4,2,77,1,0,0.0,1,100.0,33,226,137,0,0,0,1,0,56,1
12,Adam Smith,15.0,eng ENG,RB,26-112,90,52,2,21,18,13,0,52,1,1,100.0,0,0.0,20,95,44,1,0,0,0,0,23,4
13,Asmir Begović,27.0,ba BIH,GK,30-060,90,32,30,32,0,0,0,32,0,0,,0,,18,92,56,0,0,0,0,0,13,0
14,14 Players,,,,,990,577,71,221,229,132,20,577,9,6,66.7,3,33.3,281,1713,860,15,11,6,9,17,363,42
