,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Christian Benteke,17.0,be BEL,FW,26-259,90,0,0,0,0,0,0,2,0.0,2,1,1,0,0,0,0,0
1,Andros Townsend,10.0,eng ENG,"FW,AM",26-034,90,3,1,1,1,1,0,1,0.0,1,2,0,2,0,3,0,0
2,Luka Milivojević,4.0,rs SRB,CM,26-134,76,2,1,0,1,1,1,3,33.3,2,2,1,1,1,3,0,1
3,Sullay Kaikai,25.0,sl SLE,CM,21-358,14,1,0,0,1,0,0,0,,0,1,0,1,0,1,1,0
4,Jason Puncheon,42.0,eng ENG,CM,31-062,72,0,0,0,0,0,0,1,0.0,1,1,0,1,2,2,0,0
5,James McArthur,18.0,sct SCO,CM,29-316,18,0,0,0,0,0,0,0,,0,0,0,0,2,2,1,0
6,Ruben Loftus-Cheek,8.0,eng ENG,"CM,AM",21-208,90,4,2,2,2,0,0,2,0.0,2,1,0,1,3,7,1,0
7,Patrick van Aanholt,3.0,nl NED,WB,26-355,83,4,4,1,3,0,1,2,50.0,1,2,2,0,5,9,2,0
8,Jeffrey Schlupp,15.0,gh GHA,WB,24-239,7,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,0,0
9,Joel Ward,2.0,eng ENG,WB,27-294,90,1,1,1,0,0,1,3,33.3,2,3,0,3,1,2,5,0
10,James Tomkins,5.0,eng ENG,CB,28-143,90,2,0,2,0,0,0,1,0.0,1,1,0,1,4,6,4,0
11,Scott Dann,6.0,eng ENG,CB,30-186,90,1,0,1,0,0,0,0,,0,0,0,0,4,5,10,0
12,Timothy Fosu-Mensah,24.0,nl NED,CB,19-229,90,3,2,3,0,0,1,1,100.0,0,1,0,1,5,8,4,0
13,Wayne Hennessey,13.0,wls WAL,GK,30-207,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
14,14 Players,,,,,990,21,11,11,8,2,4,17,23.5,13,16,5,11,29,50,28,1
