,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Glenn Murray,17.0,eng ENG,FW,33-328,65,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.1,1,0,12,14,85.7,1,11,0,0,0
1,Tomer Hemed,10.0,il ISR,FW,30-109,25,0,0,0,0,1,1,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,1,0,0,0
2,Pascal Groß,13.0,de GER,FW,26-065,61,0,0,0,0,0,0,0,0,32,0,1,0,0.0,0.0,0.0,1,0,17,26,65.4,2,18,1,0,0
3,Anthony Knockaert,11.0,fr FRA,"RM,FW",25-272,29,0,0,0,0,0,0,0,0,22,0,1,1,0.0,0.0,0.0,0,0,12,17,70.6,6,11,1,3,2
4,Jamie Murphy,15.0,sct SCO,LM,27-356,90,0,0,0,0,1,0,0,0,40,0,1,0,0.1,0.1,0.0,2,0,29,35,82.9,4,29,6,1,1
5,Davy Pröpper,24.0,nl NED,CM,25-351,90,0,0,0,0,1,0,0,0,74,3,1,2,0.0,0.0,0.0,0,0,54,65,83.1,11,40,0,0,0
6,Dale Stephens,6.0,eng ENG,CM,28-068,90,0,0,0,0,0,0,0,0,79,0,0,2,0.0,0.0,0.0,1,0,62,73,84.9,8,36,1,3,1
7,Solly March,20.0,eng ENG,"RM,FW",23-030,90,0,0,0,0,2,1,0,0,56,2,0,0,0.1,0.1,0.0,1,0,37,46,80.4,6,31,1,2,1
8,Markus Suttner,29.0,at AUT,LB,30-125,90,0,0,0,0,0,0,0,0,64,2,1,0,0.0,0.0,0.0,1,0,44,56,78.6,6,30,3,0,0
9,Lewis Dunk,5.0,eng ENG,CB,25-271,90,0,0,0,0,0,0,0,0,65,1,1,2,0.0,0.0,0.0,0,0,42,55,76.4,2,24,1,0,0
10,Shane Duffy,22.0,ie IRL,CB,25-230,90,0,0,0,0,0,0,0,0,78,2,1,2,0.0,0.0,0.0,0,0,53,62,85.5,0,35,1,0,0
11,Bruno,2.0,es ESP,RB,36-322,90,0,0,0,0,0,0,0,0,83,1,0,0,0.0,0.0,0.0,1,0,72,81,88.9,9,41,3,0,0
12,Mathew Ryan,1.0,au AUS,GK,25-133,90,0,0,0,0,0,0,0,0,42,0,2,0,0.0,0.0,0.0,0,0,26,39,66.7,0,19,0,0,0
13,13 Players,,,,,990,0,0,0,0,5,2,0,0,660,11,9,9,0.2,0.2,0.1,8,0,463,573,80.8,55,326,18,9,5
