,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Steve Mounié,24.0,bj BEN,FW,22-317,85,27,26,1,0,0,0,0,0,0,0,0,0,13,0,0
1,Rajiv van La Parra,17.0,nl NED,"LW,FW",26-069,5,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
2,Tom Ince,22.0,eng ENG,"LW,AM",25-194,90,18,17,1,0,0,0,1,1,0,0,0,0,8,0,2
3,Elias Kachunga,9.0,cd COD,"RW,FW",25-112,90,10,10,0,0,0,0,0,0,0,0,0,0,8,0,1
4,Kasey Palmer,45.0,jm JAM,AM,20-276,71,15,13,2,0,1,0,1,0,2,0,0,1,11,0,0
5,Collin Quaner,23.0,de GER,"AM,RW",26-055,19,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0
6,Philip Billing,8.0,dk DEN,DM,21-062,90,51,51,0,0,0,1,0,0,0,0,0,0,38,0,0
7,Aaron Mooy,10.0,au AUS,DM,26-331,90,61,53,7,0,0,0,7,0,7,5,0,0,44,1,3
8,Chris Löwe,15.0,de GER,LB,28-118,90,43,27,15,0,0,0,2,15,0,0,0,0,30,1,1
9,Christopher Schindler,26.0,de GER,CB,27-105,90,14,14,0,0,0,0,0,0,0,0,0,0,12,0,0
10,Mathias Jørgensen,25.0,dk DEN,CB,27-111,90,33,33,0,0,0,0,0,0,0,0,0,0,18,0,1
11,Tommy Smith,2.0,eng ENG,RB,25-120,56,28,13,15,3,0,0,3,12,0,0,0,0,14,0,2
12,Danny Williams,19.0,us USA,RB,28-157,34,13,9,4,2,0,0,0,2,0,0,0,0,9,0,1
13,Jonas Lössl,1.0,dk DEN,GK,28-192,90,34,22,12,2,0,0,0,0,0,0,0,0,19,0,0
14,14 Players,,,,,990,356,297,57,7,1,1,14,30,9,5,0,1,230,2,11
