,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Jamie Vardy,9.0,eng ENG,FW,30-212,90,0,0,0,0,1,1,1,0,1,0,0,0,4,2,4,33.3
1,Shinji Okazaki,20.0,jp JPN,FW,31-117,71,0,0,0,3,1,0,1,0,0,0,0,0,4,6,1,85.7
2,Daniel Amartey,18.0,gh GHA,CM,22-233,19,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.0
3,Marc Albrighton,11.0,eng ENG,LM,27-266,87,0,0,0,0,2,0,6,0,0,0,0,0,5,0,1,0.0
4,Demarai Gray,7.0,eng ENG,LM,21-044,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,Wilfred Ndidi,25.0,ng NGA,"CM,DM",20-238,90,0,0,0,0,0,0,0,2,2,0,0,0,6,1,1,50.0
6,Matty James,22.0,eng ENG,CM,26-020,81,0,0,0,3,0,0,0,2,2,0,0,0,4,1,0,100.0
7,Kelechi Iheanacho,8.0,ng NGA,FW,20-312,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,Riyad Mahrez,26.0,dz ALG,RM,26-171,90,0,0,0,0,3,2,4,2,1,0,0,0,6,2,2,50.0
9,Christian Fuchs,28.0,at AUT,LB,31-126,90,0,0,0,0,0,0,4,1,0,0,0,0,4,2,3,40.0
10,Harry Maguire,15.0,eng ENG,CB,24-159,90,0,0,0,1,0,0,1,2,1,0,0,0,4,2,1,66.7
11,Wes Morgan,5.0,jm JAM,CB,33-202,90,1,0,0,4,0,0,0,1,0,0,0,0,2,1,2,33.3
12,Danny Simpson,2.0,eng ENG,RB,30-219,90,0,0,0,0,2,0,1,1,0,0,0,0,7,0,2,0.0
13,Kasper Schmeichel,1.0,dk DEN,GK,30-279,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,14 Players,,,,,990,1,0,0,12,9,3,18,11,8,0,0,0,47,17,18,48.6
