,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Javier Hernández,17.0,mx MEX,"FW,LW",29-079,90,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,1,0
1,Marko Arnautović,7.0,at AUT,LW,28-122,32,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
2,Michail Antonio,30.0,jm JAM,RW,27-144,67,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
3,Diafra Sakho,15.0,sn SEN,"FW,RW",27-238,23,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
4,André Ayew,20.0,gh GHA,AM,27-245,67,2,2,1,1,0,1,1,100.0,0,1,0,1,1,3,0,0
5,Edimilson Fernandes,31.0,ch SUI,"RW,AM",21-126,23,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
6,Mark Noble,16.0,eng ENG,DM,30-103,90,2,1,2,0,0,1,1,100.0,0,0,0,0,1,3,0,0
7,Declan Rice,41.0,eng ENG,DM,18-217,75,0,0,0,0,0,0,0,,0,1,1,0,3,3,0,0
8,Pedro Obiang,14.0,gq EQG,DM,25-145,15,3,2,2,1,0,1,1,100.0,0,0,0,0,0,3,1,0
9,Aaron Cresswell,3.0,eng ENG,LB,27-247,90,1,0,0,1,0,0,0,,0,1,0,1,0,1,5,0
10,Angelo Ogbonna,21.0,it ITA,CB,29-088,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,10,0
11,José Fonte,4.0,pt POR,CB,33-240,90,0,0,0,0,0,0,1,0.0,1,2,2,0,0,0,11,0
12,Pablo Zabaleta,5.0,ar ARG,RB,32-215,90,2,2,1,1,0,0,1,0.0,1,1,0,1,4,6,8,0
13,Joe Hart,25.0,eng ENG,GK,30-122,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,932,12,9,7,5,0,3,6,50.0,3,8,3,5,12,24,37,0
